20180605T16:41:55Z IE11WIN7 LOKI: Info: Updating Signatures ...
20180605T16:41:55Z IE11WIN7 LOKI: Info: Downloading https://github.com/Neo23x0/signature-base/archive/master.zip ...
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: README.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: c2-iocs.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: falsepositive-hashes.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: filename-iocs.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: hash-iocs.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: keywords.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: otx-c2-iocs-ipv4.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: otx-c2-iocs-ipv6.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: otx-c2-iocs.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: otx-filename-iocs.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: otx-hash-iocs.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: file-type-signatures.txt
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: airbnb_binaryalert.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_agent_btz.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_alienspy_rat.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt10.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt10_redleaves.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt12_malware.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt15.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt17_mal_sep17.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt17_malware.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt19.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt28.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt29_grizzly_steppe.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt30_backspace.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt34.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_apt6_malware.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_backdoor_ssh_python.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_backspace.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_beepservice.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_between-hk-and-burma.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_blackenergy.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_blackenergy_installer.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_bluetermite_emdivi.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_bronze_butler.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_buckeye.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_carbon_paper_turla.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_casper.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_cheshirecat.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_cloudduke.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_cmstar.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_cn_pp_zerot.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_codoso.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_coreimpact_agent.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_crash_override.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_danti_svcmondr.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_darkcaracal.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_deeppanda.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_derusbi.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_donotteam_ytyframework.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_dragonfly.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_dubnium.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_duqu2.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_emissary.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_eqgrp.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_eqgrp_apr17.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_eternalblue_non_wannacry.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_fakem_backdoor.yar
20180605T16:42:27Z IE11WIN7 LOKI: Info: New signature file: apt_fancybear_computrace_agent.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_fancybear_dnc.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_fidelis_phishing_plain_sight.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_fin7_backdoor.yar
