$MFT,C:\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.0\RESOURCES\APP.ASAR,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,81
000005.LDB,C:\Users\STRATARXIS\AppData\Roaming\Atom\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000005.ldb,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000005.LDB,143
000183.LDB,C:\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000183.LDB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000183.LDB,147
000185.LDB,C:\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000185.LDB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000185.LDB,146
000187.LDB,C:\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000187.LDB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000187.LDB,145
000188.LOG,C:\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000188.LOG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000188.LOG,142
000189.LDB,C:\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000189.LDB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\ATOM\INDEXEDDB\FILE__0.INDEXEDDB.LEVELDB\000189.LDB,144
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,28
AEPIC.DLL,C:\Windows\System32\aepic.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AEPIC.DLL,157
APM,C:\Users\STRATARXIS\AppData\Local\atom\bin\apm,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\BIN\APM,186
APM.CMD,C:\Users\STRATARXIS\AppData\Local\atom\bin\apm.cmd,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\BIN\APM.CMD,185
