000-CYGWIN-POST-INSTALL.SH,C:\CYGWIN64\ETC\POSTINSTALL\000-CYGWIN-POST-INSTALL.SH,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\POSTINSTALL\000-CYGWIN-POST-INSTALL.SH,30
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,12
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,26
BASH.EXE,C:\cygwin64\bin\bash.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\BASH.EXE,4
BASH.SH,C:\CYGWIN64\ETC\POSTINSTALL\BASH.SH,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\POSTINSTALL\BASH.SH,22
COREUTILS.SH,C:\CYGWIN64\ETC\POSTINSTALL\COREUTILS.SH,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\POSTINSTALL\COREUTILS.SH,27
CP.EXE,C:\cygwin64\bin\cp.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CP.EXE,28
CYGICONV-2.DLL,C:\cygwin64\bin\CYGICONV-2.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGICONV-2.DLL,6
CYGINTL-8.DLL,C:\cygwin64\bin\CYGINTL-8.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGINTL-8.DLL,7
CYGNCURSESW-10.DLL,C:\cygwin64\bin\CYGNCURSESW-10.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGNCURSESW-10.DLL,9
CYGREADLINE7.DLL,C:\cygwin64\bin\CYGREADLINE7.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGREADLINE7.DLL,8
CYGWIN1.DLL,C:\cygwin64\bin\cygwin1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGWIN1.DLL,5
FSTAB,C:\cygwin64\etc\fstab,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\FSTAB,10
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LN.EXE,C:\cygwin64\bin\ln.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\LN.EXE,24
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
MKDIR.EXE,C:\cygwin64\bin\mkdir.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\MKDIR.EXE,29
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,13
NETAPI32.DLL,C:\Windows\System32\netapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETAPI32.DLL,16
NETUTILS.DLL,C:\Windows\System32\netutils.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETUTILS.DLL,20
NSSWITCH.CONF,C:\cygwin64\etc\NSSWITCH.CONF,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\NSSWITCH.CONF,11
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
RPCRT4.DLL,C:\Windows\System32\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCRT4.DLL,15
SAMCLI.DLL,C:\Windows\System32\samcli.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMCLI.DLL,17
SAMLIB.DLL,C:\Windows\System32\samlib.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMLIB.DLL,19
SECHOST.DLL,C:\Windows\System32\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SECHOST.DLL,14
SYSMAIN.SDB,C:\Windows\apppatch\sysmain.sdb,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\APPPATCH\SYSMAIN.SDB,25
TEST.EXE,C:\cygwin64\bin\test.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\TEST.EXE,23
UCRTBASE.DLL,C:\Windows\System32\ucrtbase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\UCRTBASE.DLL,18
WS2_32.DLL,C:\Windows\System32\ws2_32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WS2_32.DLL,21
