$MFT,C:\Windows\System32\profapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,23
1866697723.PRI,C:\Windows\rescache\_merged\1210531379\1866697723.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\1210531379\1866697723.PRI,110
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,41
AMSI.DLL,C:\Windows\System32\amsi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AMSI.DLL,21
AMSIPROXY.DLL,C:\WINDOWS\SYSTEM32\AMSIPROXY.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AMSIPROXY.DLL,55
ATICFX64.DLL,C:\WINDOWS\SYSTEM32\ATICFX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATICFX64.DLL,120
ATIDXX64.DLL,C:\WINDOWS\SYSTEM32\ATIDXX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIDXX64.DLL,125
ATIUXP64.DLL,C:\WINDOWS\SYSTEM32\ATIUXP64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUXP64.DLL,124
AUDIOSES.DLL,C:\Windows\System32\AudioSes.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AUDIOSES.DLL,80
AVRT.DLL,C:\Windows\System32\avrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AVRT.DLL,83
BCP47LANGS.DLL,C:\Windows\System32\BCP47LANGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCP47LANGS.DLL,77
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,51
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,14
CDD.DLL,C:\WINDOWS\SYSTEM32\CDD.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CDD.DLL,146
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,38
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,48
CMD.EXE,C:\Windows\System32\cmd.exe,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CMD.EXE,67
CMD.EXE.MUI,C:\Windows\SysWOW64\en-US\CMD.EXE.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\EN-US\CMD.EXE.MUI,69
CMD.EXE.MUI,C:\Windows\System32\en-US\CMD.EXE.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CMD.EXE.MUI,145
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,12
COMCTL32.DLL,C:\Windows\WinSxS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\comctl32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\COMCTL32.DLL,24
CONSENT.EXE,C:\WINDOWS\SYSTEM32\CONSENT.EXE,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CONSENT.EXE,1
CONSENT.EXE.MUI,C:\WINDOWS\SYSTEM32\EN-US\CONSENT.EXE.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CONSENT.EXE.MUI,34
COREMESSAGING.DLL,C:\Windows\System32\COREMESSAGING.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COREMESSAGING.DLL,89
COREUICOMPONENTS.DLL,C:\Windows\System32\COREUICOMPONENTS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COREUICOMPONENTS.DLL,88
CREDUI.DLL,C:\Windows\System32\credui.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CREDUI.DLL,79
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,15
CRYPT32.DLL.MUI,C:\Windows\System32\en-US\CRYPT32.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CRYPT32.DLL.MUI,56
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,52
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,32
D2D1.DLL,C:\Windows\System32\d2d1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\D2D1.DLL,128
D3D10WARP.DLL,C:\Windows\System32\D3D10WARP.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\D3D10WARP.DLL,107
D3D11.DLL,C:\Windows\System32\d3d11.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\D3D11.DLL,105
DCOMP.DLL,C:\Windows\System32\dcomp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DCOMP.DLL,109
DEVOBJ.DLL,C:\Windows\System32\devobj.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVOBJ.DLL,84
DIRECTMANIPULATION.DLL,C:\Windows\System32\DIRECTMANIPULATION.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DIRECTMANIPULATION.DLL,141
DUI70.DLL,C:\Windows\System32\dui70.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DUI70.DLL,78
DUSER.DLL,C:\Windows\System32\duser.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DUSER.DLL,85
DWMAPI.DLL,C:\Windows\System32\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DWMAPI.DLL,70
DWRITE.DLL,C:\Windows\System32\DWrite.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DWRITE.DLL,100
DXGI.DLL,C:\Windows\System32\dxgi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DXGI.DLL,106
EXPLORER.EXE,C:\Windows\explorer.exe,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\EXPLORER.EXE,61
