.BASHRC,C:\cygwin64\etc\defaults\etc\skel\.BASHRC,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\DEFAULTS\ETC\SKEL\.BASHRC,9
.BASHRC,C:\cygwin64\etc\skel\.BASHRC,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\SKEL\.BASHRC,10
BASH.BASH_LOGOUT,C:\cygwin64\etc\defaults\etc\BASH.BASH_LOGOUT,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\DEFAULTS\ETC\BASH.BASH_LOGOUT,11
BASH.BASH_LOGOUT,C:\cygwin64\etc\BASH.BASH_LOGOUT,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\BASH.BASH_LOGOUT,12
BASH.BASHRC,C:\cygwin64\etc\defaults\etc\BASH.BASHRC,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\DEFAULTS\ETC\BASH.BASHRC,13
BASH.BASHRC,C:\cygwin64\etc\BASH.BASHRC,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\BASH.BASHRC,14
CP.EXE,C:\cygwin64\bin\cp.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CP.EXE,4
CYGATTR-1.DLL,C:\cygwin64\bin\CYGATTR-1.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGATTR-1.DLL,5
CYGICONV-2.DLL,C:\cygwin64\bin\CYGICONV-2.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGICONV-2.DLL,8
CYGINTL-8.DLL,C:\cygwin64\bin\CYGINTL-8.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGINTL-8.DLL,7
CYGWIN1.DLL,C:\cygwin64\bin\cygwin1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGWIN1.DLL,6
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LANG.CSH,C:\cygwin64\etc\defaults\etc\profile.d\lang.csh,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\DEFAULTS\ETC\PROFILE.D\LANG.CSH,23
LANG.CSH,C:\cygwin64\etc\profile.d\lang.csh,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PROFILE.D\LANG.CSH,24
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
PROFILE,C:\cygwin64\etc\profile,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PROFILE,18
PROFILE,C:\cygwin64\etc\defaults\etc\profile,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\DEFAULTS\ETC\PROFILE,17
SHELLS,C:\cygwin64\etc\shells,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\SHELLS,16
SHELLS,C:\cygwin64\etc\defaults\etc\shells,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\DEFAULTS\ETC\SHELLS,15
TZSET.CSH,C:\cygwin64\etc\defaults\etc\profile.d\tzset.csh,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\DEFAULTS\ETC\PROFILE.D\TZSET.CSH,19
TZSET.CSH,C:\cygwin64\etc\profile.d\tzset.csh,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PROFILE.D\TZSET.CSH,20
TZSET.SH,C:\cygwin64\etc\profile.d\tzset.sh,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PROFILE.D\TZSET.SH,22
TZSET.SH,C:\cygwin64\etc\defaults\etc\profile.d\tzset.sh,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\DEFAULTS\ETC\PROFILE.D\TZSET.SH,21
