$MFT,C:\Windows\System32\en-US\WINSRV.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,24
AMD64_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_5.82.16299.98_EN-US_FA8A5D4B2FDC0776.MANIFEST,C:\Windows\WinSxS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_5.82.16299.98_EN-US_FA8A5D4B2FDC0776.MANIFEST,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_5.82.16299.98_EN-US_FA8A5D4B2FDC0776.MANIFEST,34
AMD64_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_6.0.16299.98_EN-US_E29E52E94EBBF535.MANIFEST,C:\Windows\WinSxS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_6.0.16299.98_EN-US_E29E52E94EBBF535.MANIFEST,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_6.0.16299.98_EN-US_E29E52E94EBBF535.MANIFEST,36
AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_5.82.16299.98_NONE_E47F14660335D589.MANIFEST,C:\Windows\WinSxS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_5.82.16299.98_NONE_E47F14660335D589.MANIFEST,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_5.82.16299.98_NONE_E47F14660335D589.MANIFEST,32
AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348.MANIFEST,C:\Windows\WinSxS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348.MANIFEST,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348.MANIFEST,35
AMD64_MICROSOFT.WINDOWS.GDIPLUS_6595B64144CCF1DF_1.1.16299.98_NONE_4C5A792235ADDF70.MANIFEST,C:\Windows\WinSxS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.GDIPLUS_6595B64144CCF1DF_1.1.16299.98_NONE_4C5A792235ADDF70.MANIFEST,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.GDIPLUS_6595B64144CCF1DF_1.1.16299.98_NONE_4C5A792235ADDF70.MANIFEST,31
AMD64_MICROSOFT.WINDOWS.I..UTOMATION.PROXYSTUB_6595B64144CCF1DF_1.0.16299.98_NONE_767286F0686EDBDE.MANIFEST,C:\Windows\WinSxS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.I..UTOMATION.PROXYSTUB_6595B64144CCF1DF_1.0.16299.98_NONE_767286F0686EDBDE.MANIFEST,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.I..UTOMATION.PROXYSTUB_6595B64144CCF1DF_1.0.16299.98_NONE_767286F0686EDBDE.MANIFEST,33
AMD64_MICROSOFT.WINDOWS.ISOLATIONAUTOMATION_6595B64144CCF1DF_1.0.16299.98_NONE_CCFB35BD0964C1CA.MANIFEST,C:\Windows\WinSxS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.ISOLATIONAUTOMATION_6595B64144CCF1DF_1.0.16299.98_NONE_CCFB35BD0964C1CA.MANIFEST,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.ISOLATIONAUTOMATION_6595B64144CCF1DF_1.0.16299.98_NONE_CCFB35BD0964C1CA.MANIFEST,30
AMD64_MICROSOFT.WINDOWS.SYSTEMCOMPATIBLE_6595B64144CCF1DF_6.0.16299.98_NONE_D42F4CE7DEACB14F.MANIFEST,C:\Windows\WinSxS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.SYSTEMCOMPATIBLE_6595B64144CCF1DF_6.0.16299.98_NONE_D42F4CE7DEACB14F.MANIFEST,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\MANIFESTS\AMD64_MICROSOFT.WINDOWS.SYSTEMCOMPATIBLE_6595B64144CCF1DF_6.0.16299.98_NONE_D42F4CE7DEACB14F.MANIFEST,29
BASESRV.DLL,C:\WINDOWS\SYSTEM32\BASESRV.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BASESRV.DLL,4
