0P_000_AUTOREBASE.DASH,C:\cygwin64\etc\POSTINSTALL\0P_000_AUTOREBASE.DASH,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\POSTINSTALL\0P_000_AUTOREBASE.DASH,16
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,7
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,19
ASH.EXE,C:\cygwin64\bin\ash.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\ASH.EXE,4
CAT.EXE,C:\cygwin64\bin\cat.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CAT.EXE,21
CYGWIN1.DLL,C:\cygwin64\bin\cygwin1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGWIN1.DLL,5
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,8
NETAPI32.DLL,C:\Windows\System32\netapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETAPI32.DLL,11
NETUTILS.DLL,C:\Windows\System32\netutils.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETUTILS.DLL,15
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
REBASELST,C:\cygwin64\bin\REBASELST,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\REBASELST,6
RPCRT4.DLL,C:\Windows\System32\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCRT4.DLL,10
SAMCLI.DLL,C:\Windows\System32\samcli.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMCLI.DLL,12
SAMLIB.DLL,C:\Windows\System32\samlib.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMLIB.DLL,14
SECHOST.DLL,C:\Windows\System32\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SECHOST.DLL,9
SORT.EXE,C:\cygwin64\bin\sort.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\SORT.EXE,20
SYSMAIN.SDB,C:\Windows\apppatch\sysmain.sdb,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\APPPATCH\SYSMAIN.SDB,18
TOUCH.EXE,C:\cygwin64\bin\touch.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\TOUCH.EXE,17
UCRTBASE.DLL,C:\Windows\System32\ucrtbase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\UCRTBASE.DLL,13
UNAME.EXE,C:\cygwin64\bin\uname.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\UNAME.EXE,22
