$I27DYPV,C:\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$I27DYPV,\VOLUME{01d240134ec3371c-524f8ba2}\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$I27DYPV,90
$I5SU22U,C:\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$I5SU22U,\VOLUME{01d240134ec3371c-524f8ba2}\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$I5SU22U,87
$I9ME72G,C:\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$I9ME72G,\VOLUME{01d240134ec3371c-524f8ba2}\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$I9ME72G,84
$IAAVUNE,C:\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$IAAVUNE,\VOLUME{01d240134ec3371c-524f8ba2}\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$IAAVUNE,88
$ISWN7YJ.EXE,C:\$Recycle.Bin\S-1-5-21-2261305653-3396329666-1248054534-1001\$ISWN7YJ.exe,\VOLUME{01d240134ec3371c-524f8ba2}\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$ISWN7YJ.EXE,81
$IX1U25J,C:\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$IX1U25J,\VOLUME{01d240134ec3371c-524f8ba2}\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$IX1U25J,89
$IZFF1XR,C:\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$IZFF1XR,\VOLUME{01d240134ec3371c-524f8ba2}\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$IZFF1XR,85
$MFT,C:\$Recycle.Bin\S-1-5-21-2261305653-3396329666-1248054534-1001\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,56
$OBJID:$O:$INDEX_ALLOCATION,C:\Windows\System32\en-US\PROPSYS.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\$EXTEND\$OBJID:$O:$INDEX_ALLOCATION,79
5F7B5F1E01B83767.AUTOMATICDESTINATIONS-MS,C:\Users\STRATARXIS\AppData\Roaming\MICROSOFT\Windows\Recent\AUTOMATICDESTINATIONS\5F7B5F1E01B83767.AUTOMATICDESTINATIONS-MS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\RECENT\AUTOMATICDESTINATIONS\5F7B5F1E01B83767.AUTOMATICDESTINATIONS-MS,75
