$I09NE1Q,C:\$Recycle.Bin\S-1-5-21-2261305653-3396329666-1248054534-1001\$I09NE1Q,\VOLUME{01d240134ec3371c-524f8ba2}\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$I09NE1Q,309
$I1YQ9DV.YARA,C:\$Recycle.Bin\S-1-5-21-2261305653-3396329666-1248054534-1001\$I1YQ9DV.YARA,\VOLUME{01d240134ec3371c-524f8ba2}\$RECYCLE.BIN\S-1-5-21-2261305653-3396329666-1248054534-1001\$I1YQ9DV.YARA,345
$MFT,C:\Windows\System32\WinTypes.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,31
1289921488.PRI,C:\Windows\rescache\_merged\3973815535\1289921488.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3973815535\1289921488.PRI,135
1634953647.PRI,C:\Windows\rescache\_merged\3160573820\1634953647.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3160573820\1634953647.PRI,270
3264311911.PRI,C:\Windows\rescache\_merged\508436199\3264311911.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\508436199\3264311911.PRI,293
5F7B5F1E01B83767.AUTOMATICDESTINATIONS-MS,C:\Users\STRATARXIS\AppData\Roaming\MICROSOFT\Windows\Recent\AUTOMATICDESTINATIONS\5F7B5F1E01B83767.AUTOMATICDESTINATIONS-MS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\RECENT\AUTOMATICDESTINATIONS\5F7B5F1E01B83767.AUTOMATICDESTINATIONS-MS,365
ABOVELOCKAPPHOST.DLL,C:\Windows\System32\ABOVELOCKAPPHOST.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ABOVELOCKAPPHOST.DLL,175
ACTIONCENTER.DLL,C:\Windows\System32\ACTIONCENTER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ACTIONCENTER.DLL,261
ACTXPRXY.DLL,C:\Windows\System32\actxprxy.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ACTXPRXY.DLL,208
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,17
AEPIC.DLL,C:\Windows\System32\aepic.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AEPIC.DLL,141
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,118
APPLICATIONFRAME.DLL,C:\WINDOWS\SYSTEM32\APPLICATIONFRAME.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPLICATIONFRAME.DLL,158
APPRESOLVER.DLL,C:\Windows\System32\APPRESOLVER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPRESOLVER.DLL,58
APPXDEPLOYMENTCLIENT.DLL,C:\Windows\System32\APPXDEPLOYMENTCLIENT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPXDEPLOYMENTCLIENT.DLL,91
ATICFX64.DLL,C:\WINDOWS\SYSTEM32\ATICFX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATICFX64.DLL,213
ATIDXX64.DLL,C:\WINDOWS\SYSTEM32\ATIDXX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIDXX64.DLL,217
ATIUXP64.DLL,C:\WINDOWS\SYSTEM32\ATIUXP64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUXP64.DLL,215
ATLTHUNK.DLL,C:\Windows\System32\atlthunk.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATLTHUNK.DLL,257
ATOM.EXE,C:\Users\STRATARXIS\AppData\Local\atom\atom.exe,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\ATOM.EXE,239
ATOM.LNK,C:\Users\STRATARXIS\Desktop\Atom.lnk,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\ATOM.LNK,189
BATMETER.DLL,C:\Windows\System32\batmeter.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BATMETER.DLL,243
BCP47LANGS.DLL,C:\Windows\System32\BCP47LANGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCP47LANGS.DLL,59
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,44
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,11
BLUETOOTHAPIS.DLL,C:\Windows\System32\BLUETOOTHAPIS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BLUETOOTHAPIS.DLL,315
BTHPROPS.CPL,C:\Windows\System32\bthprops.cpl,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BTHPROPS.CPL,295
BTHPROPS.CPL.MUI,C:\Windows\System32\en-US\BTHPROPS.CPL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\BTHPROPS.CPL.MUI,296
C_1255.NLS,C:\WINDOWS\SYSTEM32\C_1255.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_1255.NLS,356
CACHEDIMAGE_1680_1050_POS4.JPG,C:\Users\STRATARXIS\AppData\Roaming\MICROSOFT\Windows\Themes\CACHEDFILES\CACHEDIMAGE_1680_1050_POS4.JPG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\THEMES\CACHEDFILES\CACHEDIMAGE_1680_1050_POS4.JPG,159
CAPABILITYACCESSMANAGERCLIENT.DLL,C:\Windows\System32\CAPABILITYACCESSMANAGERCLIENT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CAPABILITYACCESSMANAGERCLIENT.DLL,203
CDD.DLL,C:\WINDOWS\SYSTEM32\CDD.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CDD.DLL,335
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,32
CFLAPI.DLL,C:\Windows\System32\cflapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFLAPI.DLL,238
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,56
CLDAPI.DLL,C:\Windows\System32\cldapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLDAPI.DLL,140
CMD.EXE,C:\Windows\System32\cmd.exe,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CMD.EXE,306
CMD.EXE.MUI,C:\Windows\System32\en-US\CMD.EXE.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CMD.EXE.MUI,310
