$MFT,C:\Windows\Fonts\ega80woa.fon,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,39
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,14
CGA40WOA.FON,C:\Windows\Fonts\cga40woa.fon,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\CGA40WOA.FON,35
CGA80WOA.FON,C:\Windows\Fonts\cga80woa.fon,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\CGA80WOA.FON,36
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,12
COURE.FON,C:\Windows\Fonts\coure.fon,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\COURE.FON,24
COURF.FON,C:\Windows\Fonts\courf.fon,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\COURF.FON,25
DOSAPP.FON,C:\Windows\Fonts\dosapp.fon,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\DOSAPP.FON,34
EGA40WOA.FON,C:\Windows\Fonts\ega40woa.fon,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\EGA40WOA.FON,37
EGA80WOA.FON,C:\Windows\Fonts\ega80woa.fon,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\EGA80WOA.FON,38
FONTDRVHOST.EXE,C:\Windows\System32\FONTDRVHOST.EXE,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FONTDRVHOST.EXE,1
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,6
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,7
IMM32.DLL,C:\Windows\System32\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMM32.DLL,11
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,2
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,3
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,4
MARLETT.TTF,C:\Windows\Fonts\marlett.ttf,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\MARLETT.TTF,33
MICROSS.TTF,C:\Windows\Fonts\micross.ttf,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\MICROSS.TTF,32
