$MFT,C:\Windows\System32\en-US\CRYPT32.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,93
.GITCONFIG,C:\Users\STRATARXIS\.GITCONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.GITCONFIG,55
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,6
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,52
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,14
BITBUCKET.AUTHENTICATION.DLL,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\BITBUCKET.AUTHENTICATION.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\LIBEXEC\GIT-CORE\BITBUCKET.AUTHENTICATION.DLL,35
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,44
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,59
CLR.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\clr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CLR.DLL,23
CLRJIT.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\clrjit.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CLRJIT.DLL,33
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,12
CONFIG,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\CONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\CONFIG,95
CONFIG,C:\PROGRAMDATA\Git\config,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\GIT\CONFIG,49
CONFIG,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\config,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\CONFIG,56
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,86
CRYPT32.DLL.MUI,C:\Windows\System32\en-US\CRYPT32.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CRYPT32.DLL.MUI,92
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,53
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,50
DHCPCSVC.DLL,C:\Windows\System32\dhcpcsvc.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DHCPCSVC.DLL,69
DHCPCSVC6.DLL,C:\Windows\System32\DHCPCSVC6.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DHCPCSVC6.DLL,68
DNSAPI.DLL,C:\Windows\System32\dnsapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DNSAPI.DLL,65
FWPUCLNT.DLL,C:\Windows\System32\FWPUCLNT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FWPUCLNT.DLL,81
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,15
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,16
GIT-CREDENTIAL-MANAGER.EXE,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\GIT-CREDENTIAL-MANAGER.EXE,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\LIBEXEC\GIT-CORE\GIT-CREDENTIAL-MANAGER.EXE,1
