.GITCONFIG,C:\Users\STRATARXIS\.GITCONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.GITCONFIG,45
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,5
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,37
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,34
CA-BUNDLE.CRT,C:\PROGRAM FILES\Git\mingw64\ssl\certs\CA-BUNDLE.CRT,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\SSL\CERTS\CA-BUNDLE.CRT,58
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,33
CONFIG,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\CONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\CONFIG,60
CONFIG,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\config,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\CONFIG,41
CONFIG,C:\PROGRAMDATA\Git\config,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\GIT\CONFIG,43
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,12
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,39
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,35
