$MFT,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\index,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,35
.GITCONFIG,C:\Users\STRATARXIS\.GITCONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.GITCONFIG,33
.GITIGNORE,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\server\IOCPARSER\.GITIGNORE,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\SERVER\IOCPARSER\.GITIGNORE,37
.GITIGNORE,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\server\IOC_WRITER\.GITIGNORE,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\SERVER\IOC_WRITER\.GITIGNORE,38
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,5
AE71DAAB59C954E7F02441F773CCC8432714D8,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\objects\e5\AE71DAAB59C954E7F02441F773CCC8432714D8,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\E5\AE71DAAB59C954E7F02441F773CCC8432714D8,42
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,26
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,23
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,22
CONFIG,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\config,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\CONFIG,30
CONFIG,C:\PROGRAMDATA\Git\config,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\GIT\CONFIG,31
CONFIG,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\CONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\CONFIG,62
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,28
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,24
EXCLUDE,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\info\exclude,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\INFO\EXCLUDE,36
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,15
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,16
GIT-ADD.EXE,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\git-add.exe,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\LIBEXEC\GIT-CORE\GIT-ADD.EXE,60
GIT-RECEIVE-PACK.EXE,C:\PROGRAM FILES\Git\mingw64\bin\GIT-RECEIVE-PACK.EXE,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\BIN\GIT-RECEIVE-PACK.EXE,59
GIT.EXE,C:\PROGRAM FILES\Git\mingw64\bin\git.exe,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\BIN\GIT.EXE,1
GITCONFIG,C:\PROGRAM FILES\Git\mingw64\etc\GITCONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\ETC\GITCONFIG,32
HEAD,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\HEAD,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\HEAD,29
HEAD,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\HEAD,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\HEAD,61
IMM32.DLL,C:\Windows\System32\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMM32.DLL,21
INDEX,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\index,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\INDEX,34
INDEX,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\INDEX,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\INDEX,64
INDEX.LOCK,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\INDEX.LOCK,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\INDEX.LOCK,39
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,2
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,3
LIBICONV-2.DLL,C:\PROGRAM FILES\Git\mingw64\bin\LIBICONV-2.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\BIN\LIBICONV-2.DLL,7
LIBINTL-8.DLL,C:\PROGRAM FILES\Git\mingw64\bin\LIBINTL-8.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\BIN\LIBINTL-8.DLL,8
LIBPCRE-1.DLL,C:\PROGRAM FILES\Git\mingw64\bin\LIBPCRE-1.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\BIN\LIBPCRE-1.DLL,10
LIBSSP-0.DLL,C:\PROGRAM FILES\Git\mingw64\bin\libssp-0.dll,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\BIN\LIBSSP-0.DLL,20
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,4
MASTER,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\refs\heads\master,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\REFS\HEADS\MASTER,40
MASTER,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\REFS\HEADS\MASTER,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\REFS\HEADS\MASTER,63
MSVCP_WIN.DLL,C:\Windows\System32\MSVCP_WIN.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCP_WIN.DLL,17
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,6
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
PACKED-REFS,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\PACKED-REFS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\PACKED-REFS,41
PACKED-REFS,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\PACKED-REFS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\PACKED-REFS,65
RPCRT4.DLL,C:\Windows\System32\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCRT4.DLL,11
RSAENH.DLL,C:\Windows\System32\rsaenh.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RSAENH.DLL,25
SECHOST.DLL,C:\Windows\System32\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SECHOST.DLL,9
SORTDEFAULT.NLS,C:\Windows\GLOBALIZATION\Sorting\SORTDEFAULT.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\GLOBALIZATION\SORTING\SORTDEFAULT.NLS,27
TMP_OBJ_3DZFQ9,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\F2\TMP_OBJ_3DZFQ9,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\F2\TMP_OBJ_3DZFQ9,46
TMP_OBJ_4D1YVB,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\7D\TMP_OBJ_4D1YVB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\7D\TMP_OBJ_4D1YVB,49
TMP_OBJ_96ZG49,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\FA\TMP_OBJ_96ZG49,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\FA\TMP_OBJ_96ZG49,43
TMP_OBJ_A24RLA,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\A3\TMP_OBJ_A24RLA,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\A3\TMP_OBJ_A24RLA,54
TMP_OBJ_F2T9L9,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\13\TMP_OBJ_F2T9L9,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\13\TMP_OBJ_F2T9L9,45
TMP_OBJ_FHDMIA,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\11\TMP_OBJ_FHDMIA,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\11\TMP_OBJ_FHDMIA,56
TMP_OBJ_KUM0PA,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\44\TMP_OBJ_KUM0PA,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\44\TMP_OBJ_KUM0PA,50
TMP_OBJ_MMRNGA,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\6B\TMP_OBJ_MMRNGA,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\6B\TMP_OBJ_MMRNGA,52
TMP_OBJ_NWNGYA,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\C3\TMP_OBJ_NWNGYA,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\C3\TMP_OBJ_NWNGYA,48
TMP_OBJ_OWNGYA,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\DB\TMP_OBJ_OWNGYA,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\DB\TMP_OBJ_OWNGYA,55
TMP_OBJ_QQHJY9,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\99\TMP_OBJ_QQHJY9,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\99\TMP_OBJ_QQHJY9,51
TMP_OBJ_R2C7WB,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\CD\TMP_OBJ_R2C7WB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\CD\TMP_OBJ_R2C7WB,47
TMP_OBJ_SVFRTA,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\7D\TMP_OBJ_SVFRTA,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\7D\TMP_OBJ_SVFRTA,53
TMP_OBJ_TKMSDA,C:\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\24\TMP_OBJ_TKMSDA,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\24\TMP_OBJ_TKMSDA,44
