$MFT,C:\Users\STRATARXIS\.GITCONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,33
.GITCONFIG,C:\Users\STRATARXIS\.GITCONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.GITCONFIG,32
3DD156F37E6D6F6EBFAC425475758127D03461,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\53\3DD156F37E6D6F6EBFAC425475758127D03461,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\53\3DD156F37E6D6F6EBFAC425475758127D03461,48
58BEDEDE4A45BBC15A8F97BE2E4E05DEA61994,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\05\58BEDEDE4A45BBC15A8F97BE2E4E05DEA61994,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\05\58BEDEDE4A45BBC15A8F97BE2E4E05DEA61994,45
AB23EFF301045BE6AC01BFE77BB1BE63AA3D5C,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\3D\AB23EFF301045BE6AC01BFE77BB1BE63AA3D5C,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\3D\AB23EFF301045BE6AC01BFE77BB1BE63AA3D5C,47
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,5
AE71DAAB59C954E7F02441F773CCC8432714D8,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\E5\AE71DAAB59C954E7F02441F773CCC8432714D8,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\E5\AE71DAAB59C954E7F02441F773CCC8432714D8,42
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,26
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,23
C2826AFCFD024F89076C47757C3F22BE7E2272,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\DB\C2826AFCFD024F89076C47757C3F22BE7E2272,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\OBJECTS\DB\C2826AFCFD024F89076C47757C3F22BE7E2272,46
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,22
CONFIG,C:\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\CONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORA COPY\LORA\.GIT\CONFIG,37
