$MFT,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\refs\remotes\origin\master,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,43
.GITCONFIG,C:\Users\STRATARXIS\.GITCONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\.GITCONFIG,33
.GITIGNORE,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\server\IOCPARSER\.GITIGNORE,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\SERVER\IOCPARSER\.GITIGNORE,40
.GITIGNORE,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\server\IOC_WRITER\.GITIGNORE,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\SERVER\IOC_WRITER\.GITIGNORE,41
791795C573EA77273F2D1507E991AA44CF989D,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\objects\a8\791795C573EA77273F2D1507E991AA44CF989D,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\A8\791795C573EA77273F2D1507E991AA44CF989D,37
A02D5C5C18E8D0DB2B9DC53A02A496AFA6FBE7,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\objects\a1\A02D5C5C18E8D0DB2B9DC53A02A496AFA6FBE7,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\OBJECTS\A1\A02D5C5C18E8D0DB2B9DC53A02A496AFA6FBE7,38
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,5
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,26
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,23
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,22
CONFIG,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\config,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\CONFIG,30
CONFIG,C:\PROGRAMDATA\Git\config,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\GIT\CONFIG,31
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,28
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,24
EXCLUDE,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\info\exclude,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\INFO\EXCLUDE,39
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,15
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,16
GIT.EXE,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\dugite\git\mingw64\bin\git.exe,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\DUGITE\GIT\MINGW64\BIN\GIT.EXE,1
GITCONFIG,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\dugite\git\mingw64\etc\GITCONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\DUGITE\GIT\MINGW64\ETC\GITCONFIG,32
HEAD,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\HEAD,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\HEAD,29
IMM32.DLL,C:\Windows\System32\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMM32.DLL,21
INDEX,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\index,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\INDEX,35
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,2
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,3
LIBICONV-2.DLL,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\dugite\git\mingw64\bin\LIBICONV-2.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\DUGITE\GIT\MINGW64\BIN\LIBICONV-2.DLL,8
LIBINTL-8.DLL,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\dugite\git\mingw64\bin\LIBINTL-8.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\DUGITE\GIT\MINGW64\BIN\LIBINTL-8.DLL,9
LIBPCRE-1.DLL,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\dugite\git\mingw64\bin\LIBPCRE-1.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\DUGITE\GIT\MINGW64\BIN\LIBPCRE-1.DLL,10
LIBSSP-0.DLL,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\dugite\git\mingw64\bin\libssp-0.dll,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\RESOURCES\APP.ASAR.UNPACKED\NODE_MODULES\DUGITE\GIT\MINGW64\BIN\LIBSSP-0.DLL,20
