BASH.EXE,C:\cygwin64\bin\bash.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\BASH.EXE,10
CYGICONV-2.DLL,C:\cygwin64\bin\CYGICONV-2.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGICONV-2.DLL,7
CYGINTL-8.DLL,C:\cygwin64\bin\CYGINTL-8.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGINTL-8.DLL,6
CYGWIN1.DLL,C:\cygwin64\bin\cygwin1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGWIN1.DLL,5
DIFFUTILS.INFO.GZ,C:\cygwin64\usr\share\info\DIFFUTILS.INFO.GZ,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\INFO\DIFFUTILS.INFO.GZ,17
DIR,C:\cygwin64\usr\share\info\dir,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\INFO\DIR,8
FIND-MAINT.INFO.GZ,C:\cygwin64\usr\share\info\FIND-MAINT.INFO.GZ,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\INFO\FIND-MAINT.INFO.GZ,16
FIND.INFO.GZ,C:\cygwin64\usr\share\info\FIND.INFO.GZ,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\INFO\FIND.INFO.GZ,15
GAWK.INFO.GZ,C:\cygwin64\usr\share\info\GAWK.INFO.GZ,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\INFO\GAWK.INFO.GZ,14
GAWKINET.INFO.GZ,C:\cygwin64\usr\share\info\GAWKINET.INFO.GZ,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\INFO\GAWKINET.INFO.GZ,13
GAWKWORKFLOW.INFO.GZ,C:\cygwin64\usr\share\info\GAWKWORKFLOW.INFO.GZ,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\INFO\GAWKWORKFLOW.INFO.GZ,12
GREP.INFO.GZ,C:\cygwin64\usr\share\info\GREP.INFO.GZ,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\INFO\GREP.INFO.GZ,11
GROFF.INFO.GZ,C:\cygwin64\usr\share\info\GROFF.INFO.GZ,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\INFO\GROFF.INFO.GZ,9
INSTALL-INFO.EXE,C:\cygwin64\bin\INSTALL-INFO.EXE,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\INSTALL-INFO.EXE,4
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
