CA-BUNDLE.LEGACY.CRT,C:\cygwin64\etc\pki\ca-trust\source\CA-BUNDLE.LEGACY.CRT,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PKI\CA-TRUST\SOURCE\CA-BUNDLE.LEGACY.CRT,8
CYGICONV-2.DLL,C:\cygwin64\bin\CYGICONV-2.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGICONV-2.DLL,7
CYGINTL-8.DLL,C:\cygwin64\bin\CYGINTL-8.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGINTL-8.DLL,6
CYGWIN1.DLL,C:\cygwin64\bin\cygwin1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGWIN1.DLL,5
FD,C:\cygwin64\dev\fd,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\DEV\FD,14
HOSTS,C:\cygwin64\etc\hosts,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\HOSTS,13
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LN.EXE,C:\cygwin64\bin\ln.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\LN.EXE,4
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
NETWORKS,C:\cygwin64\etc\networks,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\NETWORKS,9
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
PROTOCOLS,C:\cygwin64\etc\PROTOCOLS,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PROTOCOLS,12
SERVICES,C:\cygwin64\etc\services,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\SERVICES,11
SETUP.LOG.RUNXA32408,C:\CYGWIN64\VAR\LOG\SETUP.LOG.RUNXA32408,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\VAR\LOG\SETUP.LOG.RUNXA32408,10
STDERR,C:\cygwin64\dev\stderr,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\DEV\STDERR,15
STDOUT,C:\cygwin64\dev\stdout,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\DEV\STDOUT,16
