$MFT,C:\Windows\Fonts\SEGOEUISL.TTF,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,92
4236248611.PRI,C:\Windows\rescache\_merged\2857704133\4236248611.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\2857704133\4236248611.PRI,52
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,32
AEPIC.DLL,C:\Windows\System32\aepic.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AEPIC.DLL,110
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,104
ATICFX64.DLL,C:\WINDOWS\SYSTEM32\ATICFX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATICFX64.DLL,71
ATIDXX64.DLL,C:\WINDOWS\SYSTEM32\ATIDXX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIDXX64.DLL,74
ATIUXP64.DLL,C:\WINDOWS\SYSTEM32\ATIUXP64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUXP64.DLL,73
AUTHEXT.DLL,C:\Windows\System32\AuthExt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AUTHEXT.DLL,105
AUTHEXT.DLL.MUI,C:\Windows\System32\en-US\AUTHEXT.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\AUTHEXT.DLL.MUI,108
BCP47LANGS.DLL,C:\Windows\System32\BCP47LANGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCP47LANGS.DLL,53
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,63
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,9
BIOCREDPROV.DLL,C:\Windows\System32\BIOCREDPROV.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BIOCREDPROV.DLL,134
BIWINRT.DLL,C:\Windows\System32\biwinrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BIWINRT.DLL,127
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,28
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,20
CLDAPI.DLL,C:\Windows\System32\cldapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLDAPI.DLL,107
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,6
COMCTL32.DLL,C:\Windows\WinSxS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\comctl32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\COMCTL32.DLL,112
COREMESSAGING.DLL,C:\Windows\System32\COREMESSAGING.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COREMESSAGING.DLL,48
COREUICOMPONENTS.DLL,C:\Windows\System32\COREUICOMPONENTS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COREUICOMPONENTS.DLL,47
CREDPROV2FAHELPER.DLL,C:\Windows\System32\CREDPROV2FAHELPER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CREDPROV2FAHELPER.DLL,142
CREDPROVDATAMODEL.DLL,C:\Windows\System32\CREDPROVDATAMODEL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CREDPROVDATAMODEL.DLL,101
CREDPROVHOST.DLL,C:\Windows\System32\CREDPROVHOST.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CREDPROVHOST.DLL,118
CREDPROVHOST.DLL.MUI,C:\Windows\System32\en-US\CREDPROVHOST.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CREDPROVHOST.DLL.MUI,147
CREDPROVS.DLL,C:\Windows\System32\CREDPROVS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CREDPROVS.DLL,122
CREDPROVS.DLL.MUI,C:\Windows\System32\en-US\CREDPROVS.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CREDPROVS.DLL.MUI,124
CREDPROVSLEGACY.DLL,C:\Windows\System32\CREDPROVSLEGACY.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CREDPROVSLEGACY.DLL,123
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,76
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,67
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,111
CVERSIONS.2.DB,C:\PROGRAMDATA\MICROSOFT\Windows\Caches\CVERSIONS.2.DB,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\MICROSOFT\WINDOWS\CACHES\CVERSIONS.2.DB,129
CVERSIONS.3.DB,C:\WINDOWS\SYSTEM32\CONFIG\SYSTEMPROFILE\APPDATA\LOCAL\MICROSOFT\WINDOWS\CACHES\CVERSIONS.3.DB,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CONFIG\SYSTEMPROFILE\APPDATA\LOCAL\MICROSOFT\WINDOWS\CACHES\CVERSIONS.3.DB,148
D2D1.DLL,C:\Windows\System32\d2d1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\D2D1.DLL,75
D3D11.DLL,C:\Windows\System32\d3d11.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\D3D11.DLL,70
DCOMP.DLL,C:\Windows\System32\dcomp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DCOMP.DLL,57
DEVDISPITEMPROVIDER.DLL,C:\Windows\System32\DEVDISPITEMPROVIDER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVDISPITEMPROVIDER.DLL,155
DEVICEASSOCIATION.DLL,C:\Windows\System32\DEVICEASSOCIATION.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVICEASSOCIATION.DLL,128
DIRECTMANIPULATION.DLL,C:\Windows\System32\DIRECTMANIPULATION.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DIRECTMANIPULATION.DLL,89
DWMAPI.DLL,C:\Windows\System32\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DWMAPI.DLL,35
DWRITE.DLL,C:\Windows\System32\DWrite.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DWRITE.DLL,78
DXGI.DLL,C:\Windows\System32\dxgi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DXGI.DLL,68
DXGKRNL.SYS,C:\WINDOWS\SYSTEM32\DRIVERS\DXGKRNL.SYS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DRIVERS\DXGKRNL.SYS,98
FACECREDENTIALPROVIDER.DLL,C:\WINDOWS\SYSTEM32\FACECREDENTIALPROVIDER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FACECREDENTIALPROVIDER.DLL,125
FLTLIB.DLL,C:\Windows\System32\fltLib.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FLTLIB.DLL,109
FONTGLYPHANIMATOR.DLL,C:\Windows\System32\FONTGLYPHANIMATOR.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FONTGLYPHANIMATOR.DLL,99
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,14
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,15
IDSTORE.DLL,C:\Windows\System32\IDStore.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IDSTORE.DLL,146
IERTUTIL.DLL,C:\Windows\System32\iertutil.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IERTUTIL.DLL,56
IMAGEHLP.DLL,C:\Windows\System32\imagehlp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMAGEHLP.DLL,66
IMAGERES.DLL,C:\Windows\System32\imageres.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMAGERES.DLL,114
IMAGERES.DLL.MUI,C:\Windows\System32\en-US\IMAGERES.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\IMAGERES.DLL.MUI,115
IMM32.DLL,C:\Windows\System32\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMM32.DLL,17
INPUTHOST.DLL,C:\Windows\System32\INPUTHOST.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\INPUTHOST.DLL,90
KERNEL.APPCORE.DLL,C:\Windows\System32\KERNEL.APPCORE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL.APPCORE.DLL,11
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,2
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,3
KERNELBASE.DLL.MUI,C:\Windows\System32\en-US\KERNELBASE.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\KERNELBASE.DLL.MUI,100
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,4
LOCKCONTROLLER.DLL,C:\WINDOWS\SYSTEM32\LOCKCONTROLLER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCKCONTROLLER.DLL,96
LOCKSCREEN___1680_1050_NOTDIMMED.JPG,C:\PROGRAMDATA\MICROSOFT\Windows\SYSTEMDATA\S-1-5-21-2261305653-3396329666-1248054534-1001\00000000001.DB,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\MICROSOFT\WINDOWS\SYSTEMDATA\S-1-5-21-2261305653-3396329666-1248054534-1001\READONLY\LOCKSCREEN_W\LOCKSCREEN___1680_1050_NOTDIMMED.JPG,143
LOGONCONTROLLER.DLL,C:\WINDOWS\SYSTEM32\LOGONCONTROLLER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOGONCONTROLLER.DLL,22
LOGONUI.EXE,C:\WINDOWS\SYSTEM32\LOGONUI.EXE,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOGONUI.EXE,1
MFPLAT.DLL,C:\Windows\System32\mfplat.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFPLAT.DLL,159
MFSENSORGROUP.DLL,C:\Windows\System32\MFSENSORGROUP.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFSENSORGROUP.DLL,158
MRMCORER.DLL,C:\Windows\System32\MrmCoreR.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MRMCORER.DLL,44
