1634953647.PRI,C:\Windows\rescache\_merged\3160573820\1634953647.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3160573820\1634953647.PRI,72
AAAAA.PDF,C:\Users\STRATARXIS\Desktop\aaaaa.pdf,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\AAAAA.PDF,124
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,16
ALERTS DL-2011 ALERTS-A-2011-02-18-01 NIGHT DRAGON ATTACHMENT 1.PDF,C:\USERS\STRATARXIS\DOWNLOADS\LORA\SERVER\SIGNATURE-BASE\PDF\ALERTS DL-2011 ALERTS-A-2011-02-18-01 NIGHT DRAGON ATTACHMENT 1.PDF,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\LORA\SERVER\SIGNATURE-BASE\PDF\ALERTS DL-2011 ALERTS-A-2011-02-18-01 NIGHT DRAGON ATTACHMENT 1.PDF,129
ALERTSA.PDF,C:\USERS\STRATARXIS\DOWNLOADS\LORA\SERVER\SIGNATURE-BASE\PDF\ALERTSA.PDF,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\LORA\SERVER\SIGNATURE-BASE\PDF\ALERTSA.PDF,128
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,6
ARIAL.TTF,C:\Windows\Fonts\arial.ttf,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\FONTS\ARIAL.TTF,127
ATICFX64.DLL,C:\WINDOWS\SYSTEM32\ATICFX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATICFX64.DLL,63
ATIDXX64.DLL,C:\WINDOWS\SYSTEM32\ATIDXX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIDXX64.DLL,71
ATIUXP64.DLL,C:\WINDOWS\SYSTEM32\ATIUXP64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUXP64.DLL,69
BCP47LANGS.DLL,C:\Windows\System32\BCP47LANGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCP47LANGS.DLL,44
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,36
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,15
CABINET.DLL,C:\Windows\System32\cabinet.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CABINET.DLL,96
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,67
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,9
COREMESSAGING.DLL,C:\Windows\System32\COREMESSAGING.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COREMESSAGING.DLL,43
