$MFT,C:\Windows\System32\version.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,20
1.259.1051.0_TO_1.259.1098.0_MPASDLTA.VDM._P,C:\WINDOWS\TEMP\197724A8-32C1-41A3-87C0-FEC5004BB25B66E8.1D38452BA0AFA27\1.259.1051.0_TO_1.259.1098.0_MPASDLTA.VDM._P,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\TEMP\197724A8-32C1-41A3-87C0-FEC5004BB25B66E8.1D38452BA0AFA27\1.259.1051.0_TO_1.259.1098.0_MPASDLTA.VDM._P,85
1.259.1051.0_TO_1.259.1098.0_MPAVDLTA.VDM._P,C:\WINDOWS\TEMP\197724A8-32C1-41A3-87C0-FEC5004BB25B66E8.1D38452BA0AFA27\1.259.1051.0_TO_1.259.1098.0_MPAVDLTA.VDM._P,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\TEMP\197724A8-32C1-41A3-87C0-FEC5004BB25B66E8.1D38452BA0AFA27\1.259.1051.0_TO_1.259.1098.0_MPAVDLTA.VDM._P,84
1.259.1098.0_TO_1.259.1155.0_MPASDLTA.VDM._P,C:\WINDOWS\TEMP\8FA1989A-C191-49D5-9227-C0D6566DA51835D8.1D3852189E6FEB8\1.259.1098.0_TO_1.259.1155.0_MPASDLTA.VDM._P,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\TEMP\8FA1989A-C191-49D5-9227-C0D6566DA51835D8.1D3852189E6FEB8\1.259.1098.0_TO_1.259.1155.0_MPASDLTA.VDM._P,78
1.259.1098.0_TO_1.259.1155.0_MPAVDLTA.VDM._P,C:\WINDOWS\TEMP\8FA1989A-C191-49D5-9227-C0D6566DA51835D8.1D3852189E6FEB8\1.259.1098.0_TO_1.259.1155.0_MPAVDLTA.VDM._P,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\TEMP\8FA1989A-C191-49D5-9227-C0D6566DA51835D8.1D3852189E6FEB8\1.259.1098.0_TO_1.259.1155.0_MPAVDLTA.VDM._P,77
1.259.1155.0_TO_1.259.1187.0_MPASDLTA.VDM._P,C:\WINDOWS\TEMP\8615247A-6D03-4863-8597-51C1FE9C64F02E14.1D385E7ACC0C2E8\1.259.1155.0_TO_1.259.1187.0_MPASDLTA.VDM._P,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\TEMP\8615247A-6D03-4863-8597-51C1FE9C64F02E14.1D385E7ACC0C2E8\1.259.1155.0_TO_1.259.1187.0_MPASDLTA.VDM._P,71
1.259.1155.0_TO_1.259.1187.0_MPAVDLTA.VDM._P,C:\WINDOWS\TEMP\8615247A-6D03-4863-8597-51C1FE9C64F02E14.1D385E7ACC0C2E8\1.259.1155.0_TO_1.259.1187.0_MPAVDLTA.VDM._P,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\TEMP\8615247A-6D03-4863-8597-51C1FE9C64F02E14.1D385E7ACC0C2E8\1.259.1155.0_TO_1.259.1187.0_MPAVDLTA.VDM._P,70
1.259.1363.0_TO_1.259.1365.0_MPASDLTA.VDM._P,C:\WINDOWS\TEMP\D7152FD7-A60B-4AEA-A29B-58AA5A26018C4438.1D389135EFEC214\1.259.1363.0_TO_1.259.1365.0_MPASDLTA.VDM._P,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\TEMP\D7152FD7-A60B-4AEA-A29B-58AA5A26018C4438.1D389135EFEC214\1.259.1363.0_TO_1.259.1365.0_MPASDLTA.VDM._P,55
1.259.1363.0_TO_1.259.1365.0_MPAVDLTA.VDM._P,C:\WINDOWS\TEMP\D7152FD7-A60B-4AEA-A29B-58AA5A26018C4438.1D389135EFEC214\1.259.1363.0_TO_1.259.1365.0_MPAVDLTA.VDM._P,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\TEMP\D7152FD7-A60B-4AEA-A29B-58AA5A26018C4438.1D389135EFEC214\1.259.1363.0_TO_1.259.1365.0_MPAVDLTA.VDM._P,54
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,5
