$MFT,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscoreei.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,39
ADVAPI32.DLL,C:\Windows\SysWOW64\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ADVAPI32.DLL,13
BCRYPTPRIMITIVES.DLL,C:\Windows\SysWOW64\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPTPRIMITIVES.DLL,19
CLBCATQ.DLL,C:\Windows\SysWOW64\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CLBCATQ.DLL,32
CLR.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\clr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\CLR.DLL,40
CLRJIT.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\clrjit.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\CLRJIT.DLL,45
COMBASE.DLL,C:\Windows\SysWOW64\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COMBASE.DLL,21
CRYPTBASE.DLL,C:\Windows\SysWOW64\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPTBASE.DLL,18
GDI32.DLL,C:\Windows\SysWOW64\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\GDI32.DLL,23
GDI32FULL.DLL,C:\Windows\SysWOW64\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\GDI32FULL.DLL,24
KERNEL.APPCORE.DLL,C:\Windows\SysWOW64\KERNEL.APPCORE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNEL.APPCORE.DLL,31
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,5
KERNEL32.DLL,C:\Windows\SysWOW64\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNEL32.DLL,6
KERNELBASE.DLL,C:\Windows\SysWOW64\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNELBASE.DLL,11
