$$_SYSTEM32_21F9A9C4A2F8B514.CDF-MS,C:\Windows\WinSxS\FileMaps\$$_SYSTEM32_21F9A9C4A2F8B514.CDF-MS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\FILEMAPS\$$_SYSTEM32_21F9A9C4A2F8B514.CDF-MS,93
$MFT,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,35
$MFT,D:\Windows\System32\msihnd.dll,\VOLUME{01d2418219c39dc5-2c1bd05a}\$MFT,153
$MFT::$BITMAP,D:\$MFT::$BITMAP,\VOLUME{01d2418219c39dc5-2c1bd05a}\$MFT::$BITMAP,84
$SECURE:$SDH:$INDEX_ALLOCATION,D:\$SECURE:$SDH:$INDEX_ALLOCATION,\VOLUME{01d2418219c39dc5-2c1bd05a}\$SECURE:$SDH:$INDEX_ALLOCATION,83
A5517219.MSI,C:\WINDOWS\INSTALLER\A5517219.MSI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INSTALLER\A5517219.MSI,54
A551721C.RBS,C:\CONFIG.MSI\A551721C.RBS,\VOLUME{01d240134ec3371c-524f8ba2}\CONFIG.MSI\A551721C.RBS,92
A551721D.MSI,C:\Windows\INSTALLER\a551721d.msi,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INSTALLER\A551721D.MSI,102
A551721E.MSI,C:\WINDOWS\INSTALLER\A551721E.MSI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INSTALLER\A551721E.MSI,109
A5517221.RBS,C:\CONFIG.MSI\A5517221.RBS,\VOLUME{01d240134ec3371c-524f8ba2}\CONFIG.MSI\A5517221.RBS,116
A5517222.MSI,C:\Windows\INSTALLER\a5517222.msi,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INSTALLER\A5517222.MSI,131
ACLAYERS.DLL,C:\Windows\System32\AcLayers.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ACLAYERS.DLL,7
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,25
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,5
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,22
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,18
CAB1.CAB,C:\PROGRAMDATA\PACKAGE CACHE\{2CD849A7-86A1-34A6-B8F9-D72F5B21A9AE}V14.12.25810\packages\VCRUNTIMEADDITIONAL_AMD64\cab1.cab,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\PACKAGE CACHE\{2CD849A7-86A1-34A6-B8F9-D72F5B21A9AE}V14.12.25810\PACKAGES\VCRUNTIMEADDITIONAL_AMD64\CAB1.CAB,113
CAB1.CAB,C:\PROGRAMDATA\PACKAGE CACHE\{C99E2ADC-0347-336E-A603-F1992B09D582}V14.12.25810\packages\VCRUNTIMEMINIMUM_AMD64\cab1.cab,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\PACKAGE CACHE\{C99E2ADC-0347-336E-A603-F1992B09D582}V14.12.25810\PACKAGES\VCRUNTIMEMINIMUM_AMD64\CAB1.CAB,89
CABINET.DLL,C:\Windows\System32\cabinet.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CABINET.DLL,95
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,38
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,34
CLR.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\clr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CLR.DLL,71
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,16
COMCTL32.DLL,C:\Windows\WinSxS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\comctl32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\COMCTL32.DLL,29
COML2.DLL,C:\Windows\System32\coml2.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COML2.DLL,51
CONCRT140.DLL,C:\WINDOWS\SYSTEM32\CONCRT140.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CONCRT140.DLL,96
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,56
CRYPT32.DLL.MUI,C:\Windows\System32\en-US\CRYPT32.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CRYPT32.DLL.MUI,63
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,61
CRYPTNET.DLL,C:\Windows\System32\cryptnet.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTNET.DLL,65
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,59
DD_VCREDIST_AMD64_20180108104313_000_VCRUNTIMEMINIMUM_X64.LOG,C:\Users\STRATARXIS\AppData\Local\Temp\DD_VCREDIST_AMD64_20180108104313_000_VCRUNTIMEMINIMUM_X64.LOG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\DD_VCREDIST_AMD64_20180108104313_000_VCRUNTIMEMINIMUM_X64.LOG,53
DD_VCREDIST_AMD64_20180108104313_001_VCRUNTIMEADDITIONAL_X64.LOG,C:\Users\STRATARXIS\AppData\Local\Temp\DD_VCREDIST_AMD64_20180108104313_001_VCRUNTIMEADDITIONAL_X64.LOG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\DD_VCREDIST_AMD64_20180108104313_001_VCRUNTIMEADDITIONAL_X64.LOG,108
DWMAPI.DLL,C:\Windows\System32\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DWMAPI.DLL,148
E0AD57.MSI,C:\Windows\INSTALLER\e0ad57.msi,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INSTALLER\E0AD57.MSI,151
FUSION.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\fusion.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\FUSION.DLL,72
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,11
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,12
GPAPI.DLL,C:\Windows\System32\gpapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GPAPI.DLL,64
IMM32.DLL,C:\Windows\System32\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMM32.DLL,136
INPROGRESSINSTALLINFO.IPI,C:\WINDOWS\INSTALLER\INPROGRESSINSTALLINFO.IPI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INSTALLER\INPROGRESSINSTALLINFO.IPI,85
IPHLPAPI.DLL,C:\Windows\System32\IPHLPAPI.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IPHLPAPI.DLL,21
KERNEL.APPCORE.DLL,C:\Windows\System32\KERNEL.APPCORE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL.APPCORE.DLL,33
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,2
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,3
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,4
MFC140.DLL,C:\WINDOWS\SYSTEM32\MFC140.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140.DLL,117
MFC140CHS.DLL,C:\WINDOWS\SYSTEM32\MFC140CHS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140CHS.DLL,118
MFC140CHT.DLL,C:\WINDOWS\SYSTEM32\MFC140CHT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140CHT.DLL,119
MFC140DEU.DLL,C:\WINDOWS\SYSTEM32\MFC140DEU.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140DEU.DLL,120
MFC140ENU.DLL,C:\WINDOWS\SYSTEM32\MFC140ENU.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140ENU.DLL,121
MFC140ESN.DLL,C:\WINDOWS\SYSTEM32\MFC140ESN.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140ESN.DLL,122
MFC140FRA.DLL,C:\WINDOWS\SYSTEM32\MFC140FRA.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140FRA.DLL,123
MFC140ITA.DLL,C:\WINDOWS\SYSTEM32\MFC140ITA.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140ITA.DLL,124
MFC140JPN.DLL,C:\WINDOWS\SYSTEM32\MFC140JPN.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140JPN.DLL,125
MFC140KOR.DLL,C:\WINDOWS\SYSTEM32\MFC140KOR.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140KOR.DLL,126
MFC140RUS.DLL,C:\WINDOWS\SYSTEM32\MFC140RUS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140RUS.DLL,127
MFC140U.DLL,C:\WINDOWS\SYSTEM32\MFC140U.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFC140U.DLL,128
MFCM140.DLL,C:\WINDOWS\SYSTEM32\MFCM140.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFCM140.DLL,129
MFCM140U.DLL,C:\WINDOWS\SYSTEM32\MFCM140U.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MFCM140U.DLL,130
MPR.DLL,C:\Windows\System32\mpr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MPR.DLL,82
MSASN1.DLL,C:\Windows\System32\msasn1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSASN1.DLL,57
MSCOREE.DLL,C:\Windows\System32\mscoree.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSCOREE.DLL,68
MSCOREEI.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\mscoreei.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCOREEI.DLL,69
MSCTF.DLL,C:\Windows\System32\msctf.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSCTF.DLL,147
MSI.DLL,C:\Windows\System32\msi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSI.DLL,36
MSI6AA.TMP,C:\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\MSI6AA.TMP,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\MSI6AA.TMP,142
MSI8227.TMP,C:\WINDOWS\INSTALLER\MSI8227.TMP,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INSTALLER\MSI8227.TMP,90
MSI8AB5.TMP,C:\WINDOWS\INSTALLER\MSI8AB5.TMP,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INSTALLER\MSI8AB5.TMP,114
MSI94BA.TMP,C:\WINDOWS\INSTALLER\MSI94BA.TMP,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INSTALLER\MSI94BA.TMP,141
MSIEXEC.EXE,C:\Windows\SysWOW64\msiexec.exe,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\MSIEXEC.EXE,143
