ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,12
COMMIT_EDITMSG,C:\Users\STRATARXIS\Desktop\loracopy\LoRa\.GIT\COMMIT_EDITMSG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\LORACOPY\LORA\.GIT\COMMIT_EDITMSG,23
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,13
MSYS-2.0.DLL,C:\PROGRAM FILES\Git\usr\bin\MSYS-2.0.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\MSYS-2.0.DLL,5
MSYS-ICONV-2.DLL,C:\PROGRAM FILES\Git\usr\bin\MSYS-ICONV-2.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\MSYS-ICONV-2.DLL,7
MSYS-INTL-8.DLL,C:\PROGRAM FILES\Git\usr\bin\MSYS-INTL-8.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\MSYS-INTL-8.DLL,6
MSYS-MAGIC-1.DLL,C:\PROGRAM FILES\Git\usr\bin\MSYS-MAGIC-1.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\MSYS-MAGIC-1.DLL,9
MSYS-NCURSESW6.DLL,C:\PROGRAM FILES\Git\usr\bin\MSYS-NCURSESW6.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\MSYS-NCURSESW6.DLL,8
MSYS-Z.DLL,C:\PROGRAM FILES\Git\usr\bin\msys-z.dll,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\MSYS-Z.DLL,10
NANO.EXE,C:\PROGRAM FILES\Git\usr\bin\nano.exe,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\NANO.EXE,4
NANORC,C:\PROGRAM FILES\Git\etc\nanorc,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\NANORC,21
NETAPI32.DLL,C:\Windows\System32\netapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETAPI32.DLL,16
NETUTILS.DLL,C:\Windows\System32\netutils.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETUTILS.DLL,20
NSSWITCH.CONF,C:\PROGRAM FILES\Git\etc\NSSWITCH.CONF,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\NSSWITCH.CONF,11
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
RPCRT4.DLL,C:\Windows\System32\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCRT4.DLL,15
SAMCLI.DLL,C:\Windows\System32\samcli.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMCLI.DLL,17
SAMLIB.DLL,C:\Windows\System32\samlib.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMLIB.DLL,19
SECHOST.DLL,C:\Windows\System32\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SECHOST.DLL,14
UCRTBASE.DLL,C:\Windows\System32\ucrtbase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\UCRTBASE.DLL,18
XTERM,C:\PROGRAM FILES\Git\usr\share\terminfo\78\xterm,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\SHARE\TERMINFO\78\XTERM,22
