$MFT,C:\Windows\System32\en-US\KERNELBASE.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,53
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,6
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,49
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,14
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,42
CLR.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\clr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CLR.DLL,23
CLRJIT.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\clrjit.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CLRJIT.DLL,33
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,12
FUSION.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\fusion.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\FUSION.DLL,37
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,15
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,16
GIT-CREDENTIAL-MANAGER.EXE.LOG,C:\Users\STRATARXIS\AppData\Local\MICROSOFT\CLR_v4.0\USAGELOGS\GIT-CREDENTIAL-MANAGER.EXE.LOG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\MICROSOFT\CLR_V4.0\USAGELOGS\GIT-CREDENTIAL-MANAGER.EXE.LOG,54
IMM32.DLL,C:\Windows\System32\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMM32.DLL,20
KERNEL.APPCORE.DLL,C:\Windows\System32\KERNEL.APPCORE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL.APPCORE.DLL,21
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,3
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,4
