$MFT,C:\Windows\System32\DEVICECENTER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,57
ACCESSIBILITYCPL.DLL,C:\Windows\System32\ACCESSIBILITYCPL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ACCESSIBILITYCPL.DLL,17
ACCESSIBILITYCPL.DLL.MUI,C:\Windows\System32\en-US\ACCESSIBILITYCPL.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\ACCESSIBILITYCPL.DLL.MUI,87
ACTIONCENTERCPL.DLL,C:\Windows\System32\ACTIONCENTERCPL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ACTIONCENTERCPL.DLL,25
ACTIONCENTERCPL.DLL.MUI,C:\Windows\System32\en-US\ACTIONCENTERCPL.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\ACTIONCENTERCPL.DLL.MUI,47
APPRESOLVER.DLL,C:\Windows\System32\APPRESOLVER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPRESOLVER.DLL,40
APPWIZ.CPL,C:\Windows\System32\appwiz.cpl,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPWIZ.CPL,44
APPWIZ.CPL.MUI,C:\Windows\System32\en-US\APPWIZ.CPL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\APPWIZ.CPL.MUI,45
AUTOPLAY.DLL,C:\Windows\System32\autoplay.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AUTOPLAY.DLL,24
AUTOPLAY.DLL.MUI,C:\Windows\System32\en-US\AUTOPLAY.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\AUTOPLAY.DLL.MUI,46
COLORCPL.EXE,C:\Windows\System32\colorcpl.exe,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COLORCPL.EXE,14
COLORCPL.EXE.MUI,C:\Windows\System32\en-US\COLORCPL.EXE.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\COLORCPL.EXE.MUI,84
CONTROL PANEL.LNK,C:\Users\STRATARXIS\AppData\Roaming\MICROSOFT\Windows\START MENU\Programs\SYSTEM TOOLS\CONTROL PANEL.LNK,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\START MENU\PROGRAMS\SYSTEM TOOLS\CONTROL PANEL.LNK,43
COREUICOMPONENTS.DLL,C:\Windows\System32\COREUICOMPONENTS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COREUICOMPONENTS.DLL,39
DEVICECENTER.DLL,C:\Windows\System32\DEVICECENTER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVICECENTER.DLL,56
DEVICECENTER.DLL.MUI,C:\Windows\System32\en-US\DEVICECENTER.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\DEVICECENTER.DLL.MUI,83
DEVMGR.DLL,C:\Windows\System32\devmgr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVMGR.DLL,9
DEVMGR.DLL.MUI,C:\Windows\System32\en-US\DEVMGR.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\DEVMGR.DLL.MUI,71
DIAGCPL.DLL,C:\WINDOWS\SYSTEM32\DIAGCPL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DIAGCPL.DLL,23
DIAGCPL.DLL.MUI,C:\WINDOWS\SYSTEM32\EN-US\DIAGCPL.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\DIAGCPL.DLL.MUI,86
DISPLAY.DLL,C:\Windows\System32\Display.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DISPLAY.DLL,48
DISPLAY.DLL.MUI,C:\Windows\System32\en-US\DISPLAY.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\DISPLAY.DLL.MUI,49
DUSER.DLL.MUI,C:\Windows\System32\en-US\DUSER.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\DUSER.DLL.MUI,26
FHCPL.DLL,C:\WINDOWS\SYSTEM32\FHCPL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FHCPL.DLL,21
FHCPL.DLL.MUI,C:\WINDOWS\SYSTEM32\EN-US\FHCPL.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\FHCPL.DLL.MUI,92
FIREWALLCONTROLPANEL.DLL,C:\Windows\System32\FIREWALLCONTROLPANEL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FIREWALLCONTROLPANEL.DLL,63
FIREWALLCONTROLPANEL.DLL.MUI,C:\Windows\System32\en-US\FIREWALLCONTROLPANEL.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\FIREWALLCONTROLPANEL.DLL.MUI,64
FVECPL.DLL,C:\WINDOWS\SYSTEM32\FVECPL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FVECPL.DLL,16
FVECPL.DLL.MUI,C:\WINDOWS\SYSTEM32\EN-US\FVECPL.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\FVECPL.DLL.MUI,88
HGCPL.DLL.MUI,C:\Windows\System32\en-US\HGCPL.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\HGCPL.DLL.MUI,50
ICONCACHE_16.DB,C:\Users\STRATARXIS\AppData\Local\MICROSOFT\Windows\Explorer\ICONCACHE_16.DB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\MICROSOFT\WINDOWS\EXPLORER\ICONCACHE_16.DB,34
ICONCACHE_32.DB,C:\Users\STRATARXIS\AppData\Local\MICROSOFT\Windows\Explorer\ICONCACHE_32.DB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\MICROSOFT\WINDOWS\EXPLORER\ICONCACHE_32.DB,33
ICONCACHE_48.DB,C:\Users\STRATARXIS\AppData\Local\MICROSOFT\Windows\Explorer\ICONCACHE_48.DB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\MICROSOFT\WINDOWS\EXPLORER\ICONCACHE_48.DB,35
ICONCACHE_IDX.DB,C:\Users\STRATARXIS\AppData\Local\MICROSOFT\Windows\Explorer\ICONCACHE_IDX.DB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\MICROSOFT\WINDOWS\EXPLORER\ICONCACHE_IDX.DB,32
IEFRAME.DLL,C:\Windows\System32\ieframe.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IEFRAME.DLL,36
IMAGERES.DLL,C:\Windows\System32\imageres.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMAGERES.DLL,30
IMAGERES.DLL.MUI,C:\Windows\System32\en-US\IMAGERES.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\IMAGERES.DLL.MUI,31
INETCPL.CPL,C:\Windows\System32\inetcpl.cpl,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\INETCPL.CPL,81
INETCPL.CPL.MUI,C:\Windows\System32\en-US\INETCPL.CPL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\INETCPL.CPL.MUI,82
INTL.CPL,C:\Windows\System32\intl.cpl,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\INTL.CPL,7
INTL.CPL.MUI,C:\Windows\System32\en-US\INTL.CPL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\INTL.CPL.MUI,69
IRPROPS.CPL,C:\Windows\System32\irprops.cpl,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IRPROPS.CPL,13
IRPROPS.CPL.MUI,C:\Windows\System32\en-US\IRPROPS.CPL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\IRPROPS.CPL.MUI,80
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,42
KNOWNGAMELIST.BIN,C:\Users\STRATARXIS\AppData\Local\MICROSOFT\GameDVR\KNOWNGAMELIST.BIN,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\MICROSOFT\GAMEDVR\KNOWNGAMELIST.BIN,41
MAIN.CPL,C:\Windows\System32\main.cpl,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MAIN.CPL,8
MAIN.CPL.MUI,C:\Windows\System32\en-US\MAIN.CPL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\MAIN.CPL.MUI,70
MMSYS.CPL,C:\Windows\System32\mmsys.cpl,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MMSYS.CPL,20
MMSYS.CPL.MUI,C:\Windows\System32\en-US\MMSYS.CPL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\MMSYS.CPL.MUI,91
MSFTEDIT.DLL,C:\Windows\System32\msftedit.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSFTEDIT.DLL,58
MSWSOCK.DLL,C:\Windows\System32\mswsock.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSWSOCK.DLL,54
NETCENTER.DLL,C:\Windows\System32\NETCENTER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETCENTER.DLL,75
NETCENTER.DLL.MUI,C:\Windows\System32\en-US\NETCENTER.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\NETCENTER.DLL.MUI,76
POWERCPL.DLL,C:\Windows\System32\powercpl.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\POWERCPL.DLL,51
POWERCPL.DLL.MUI,C:\Windows\System32\en-US\POWERCPL.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\POWERCPL.DLL.MUI,52
