$MFT,C:\Windows\System32\linkinfo.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,121
1444424098.PRI,C:\Windows\rescache\_merged\957298077\1444424098.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\957298077\1444424098.PRI,144
AAAC.OXPS,C:\Users\STRATARXIS\Desktop\AAAC.OXPS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\AAAC.OXPS,199
ACTIVATIONSTORE.DAT,C:\PROGRAMDATA\MICROSOFT\Windows\APPREPOSITORY\Packages\C5E2524A-EA46-4F67-841F-6A9465D9D515_10.0.16299.15_NEUTRAL_NEUTRAL_CW5N1H2TXYEWY\ACTIVATIONSTORE.DAT,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\MICROSOFT\WINDOWS\APPREPOSITORY\PACKAGES\C5E2524A-EA46-4F67-841F-6A9465D9D515_10.0.16299.15_NEUTRAL_NEUTRAL_CW5N1H2TXYEWY\ACTIVATIONSTORE.DAT,122
ACTIVATIONSTORE.DAT,C:\PROGRAMDATA\MICROSOFT\Windows\APPREPOSITORY\Packages\MICROSOFT.WINDOWS.PHOTOS_2017.39101.16720.0_X64__8WEKYB3D8BBWE\ACTIVATIONSTORE.DAT,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\MICROSOFT\WINDOWS\APPREPOSITORY\PACKAGES\MICROSOFT.WINDOWS.PHOTOS_2017.39101.16720.0_X64__8WEKYB3D8BBWE\ACTIVATIONSTORE.DAT,146
ACTIVATIONSTORE.DAT,C:\PROGRAMDATA\MICROSOFT\Windows\APPREPOSITORY\Packages\MICROSOFT.WINDOWSCAMERA_2017.921.10.0_X64__8WEKYB3D8BBWE\ACTIVATIONSTORE.DAT,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\MICROSOFT\WINDOWS\APPREPOSITORY\PACKAGES\MICROSOFT.WINDOWSCAMERA_2017.921.10.0_X64__8WEKYB3D8BBWE\ACTIVATIONSTORE.DAT,149
ACTXPRXY.DLL,C:\Windows\System32\actxprxy.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ACTXPRXY.DLL,176
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,30
AEPIC.DLL,C:\Windows\System32\aepic.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AEPIC.DLL,65
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,123
