$MFT,C:\Windows\System32\win32u.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,19
$OBJID:$O:$INDEX_ALLOCATION,C:\Windows\System32\cscapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$EXTEND\$OBJID:$O:$INDEX_ALLOCATION,83
590AEE7BDD69B59B.CUSTOMDESTINATIONS-MS,C:\Users\STRATARXIS\AppData\Roaming\MICROSOFT\Windows\Recent\CUSTOMDESTINATIONS\590AEE7BDD69B59B.CUSTOMDESTINATIONS-MS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\RECENT\CUSTOMDESTINATIONS\590AEE7BDD69B59B.CUSTOMDESTINATIONS-MS,51
A3AXSV5VCB2CUMLDGGJK.TEMP,C:\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\RECENT\CUSTOMDESTINATIONS\A3AXSV5VCB2CUMLDGGJK.TEMP,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\RECENT\CUSTOMDESTINATIONS\A3AXSV5VCB2CUMLDGGJK.TEMP,86
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,12
AEPIC.DLL,C:\Windows\System32\aepic.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AEPIC.DLL,60
AMSI.DLL,C:\Windows\System32\amsi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AMSI.DLL,108
APPRESOLVER.DLL,C:\Windows\System32\APPRESOLVER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPRESOLVER.DLL,34
ATL.DLL,C:\Windows\System32\atl.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATL.DLL,20
BCP47LANGS.DLL,C:\Windows\System32\BCP47LANGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCP47LANGS.DLL,39
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,62
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,11
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,50
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,27
CLDAPI.DLL,C:\Windows\System32\cldapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLDAPI.DLL,58
CLR.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\clr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CLR.DLL,90
CLRJIT.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\clrjit.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\CLRJIT.DLL,135
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,9
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,123
CRYPT32.DLL.MUI,C:\Windows\System32\en-US\CRYPT32.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CRYPT32.DLL.MUI,126
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,45
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,40
CSCAPI.DLL,C:\Windows\System32\cscapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CSCAPI.DLL,82
CVERSIONS.1.DB,C:\Users\STRATARXIS\AppData\Local\MICROSOFT\Windows\Caches\CVERSIONS.1.DB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\MICROSOFT\WINDOWS\CACHES\CVERSIONS.1.DB,56
CVERSIONS.2.DB,C:\PROGRAMDATA\MICROSOFT\Windows\Caches\CVERSIONS.2.DB,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\MICROSOFT\WINDOWS\CACHES\CVERSIONS.2.DB,53
CVERSIONS.3.DB,C:\Users\STRATARXIS\AppData\Local\MICROSOFT\Windows\Caches\CVERSIONS.3.DB,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\MICROSOFT\WINDOWS\CACHES\CVERSIONS.3.DB,47
DESKTOP.INI,C:\Users\STRATARXIS\FAVORITES\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\FAVORITES\DESKTOP.INI,76
DESKTOP.INI,C:\Users\STRATARXIS\AppData\Roaming\MICROSOFT\Windows\START MENU\Programs\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\START MENU\PROGRAMS\DESKTOP.INI,65
DESKTOP.INI,C:\Users\STRATARXIS\Desktop\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\DESKTOP.INI,67
DESKTOP.INI,C:\Users\STRATARXIS\SAVED GAMES\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\SAVED GAMES\DESKTOP.INI,78
DESKTOP.INI,C:\Users\STRATARXIS\Links\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\LINKS\DESKTOP.INI,77
DESKTOP.INI,C:\Users\STRATARXIS\DOCUMENTS\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOCUMENTS\DESKTOP.INI,68
DESKTOP.INI,C:\Users\STRATARXIS\Music\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\MUSIC\DESKTOP.INI,69
DESKTOP.INI,C:\Users\STRATARXIS\Pictures\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\PICTURES\DESKTOP.INI,70
DESKTOP.INI,C:\Users\STRATARXIS\Videos\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\VIDEOS\DESKTOP.INI,71
DESKTOP.INI,C:\Users\STRATARXIS\AppData\Roaming\MICROSOFT\Windows\START MENU\Programs\WINDOWS POWERSHELL\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\START MENU\PROGRAMS\WINDOWS POWERSHELL\DESKTOP.INI,66
DESKTOP.INI,C:\Users\STRATARXIS\OneDrive\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\ONEDRIVE\DESKTOP.INI,73
DESKTOP.INI,C:\Users\STRATARXIS\AppData\Roaming\MICROSOFT\Windows\START MENU\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\ROAMING\MICROSOFT\WINDOWS\START MENU\DESKTOP.INI,64
DESKTOP.INI,C:\Users\STRATARXIS\Contacts\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\CONTACTS\DESKTOP.INI,75
DESKTOP.INI,C:\Users\STRATARXIS\Searches\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\SEARCHES\DESKTOP.INI,74
DESKTOP.INI,C:\Users\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\DESKTOP.INI,63
