$MFT,C:\Windows\System32\en-US\WINDOWS.UI.XAML.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,169
1747198639.PRI,C:\Windows\rescache\_merged\3657330230\1747198639.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3657330230\1747198639.PRI,50
3960503693.PRI,C:\Windows\rescache\_merged\1576351607\3960503693.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\1576351607\3960503693.PRI,54
ACPI.PNF,C:\Windows\INF\acpi.PNF,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INF\ACPI.PNF,144
ACTIVATIONSTORE.DAT,C:\PROGRAMDATA\MICROSOFT\Windows\APPREPOSITORY\Packages\WINDOWS.PRINTDIALOG_6.2.0.0_NEUTRAL_NEUTRAL_CW5N1H2TXYEWY\ACTIVATIONSTORE.DAT,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\MICROSOFT\WINDOWS\APPREPOSITORY\PACKAGES\WINDOWS.PRINTDIALOG_6.2.0.0_NEUTRAL_NEUTRAL_CW5N1H2TXYEWY\ACTIVATIONSTORE.DAT,87
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,27
ATICFX64.DLL,C:\WINDOWS\SYSTEM32\ATICFX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATICFX64.DLL,68
ATIDXX64.DLL,C:\WINDOWS\SYSTEM32\ATIDXX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIDXX64.DLL,73
ATIUXP64.DLL,C:\WINDOWS\SYSTEM32\ATIUXP64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUXP64.DLL,72
BASICDISPLAY.PNF,C:\Windows\INF\BASICDISPLAY.PNF,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\INF\BASICDISPLAY.PNF,133
