$MFT,C:\Windows\System32\msctf.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,53
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,34
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,75
APPXDEPLOYMENTCLIENT.DLL,C:\Windows\System32\APPXDEPLOYMENTCLIENT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPXDEPLOYMENTCLIENT.DLL,95
AUTHEXT.DLL,C:\Windows\System32\AuthExt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AUTHEXT.DLL,76
AUTHEXT.DLL.MUI,C:\Windows\System32\en-US\AUTHEXT.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\AUTHEXT.DLL.MUI,78
BCP47LANGS.DLL,C:\Windows\System32\BCP47LANGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCP47LANGS.DLL,61
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,35
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,8
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,30
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,22
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,6
COMBASE.DLL.MUI,C:\Windows\System32\en-US\COMBASE.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\COMBASE.DLL.MUI,85
COMCTL32.DLL,C:\Windows\WinSxS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\comctl32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\COMCTL32.DLL,79
COREMESSAGING.DLL,C:\Windows\System32\COREMESSAGING.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COREMESSAGING.DLL,60
COREUICOMPONENTS.DLL,C:\Windows\System32\COREUICOMPONENTS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COREUICOMPONENTS.DLL,70
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,104
D3D11.DLL,C:\Windows\System32\d3d11.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\D3D11.DLL,45
DWMAPI.DLL,C:\Windows\System32\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DWMAPI.DLL,46
DXGI.DLL,C:\Windows\System32\dxgi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DXGI.DLL,47
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,15
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,16
IERTUTIL.DLL,C:\Windows\System32\iertutil.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IERTUTIL.DLL,74
IMAGEHLP.DLL,C:\Windows\System32\imagehlp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMAGEHLP.DLL,103
IMAGERES.DLL,C:\Windows\System32\imageres.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMAGERES.DLL,81
IMAGERES.DLL.MUI,C:\Windows\System32\en-US\IMAGERES.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\IMAGERES.DLL.MUI,82
IMM32.DLL,C:\Windows\System32\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMM32.DLL,20
KERNEL.APPCORE.DLL,C:\Windows\System32\KERNEL.APPCORE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL.APPCORE.DLL,11
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,2
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,3
KERNELBASE.DLL.MUI,C:\Windows\System32\en-US\KERNELBASE.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\KERNELBASE.DLL.MUI,86
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,4
LOCKAPPBROKER.DLL,C:\Windows\System32\LOCKAPPBROKER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCKAPPBROKER.DLL,23
LOCKCONTROLLER.DLL,C:\WINDOWS\SYSTEM32\LOCKCONTROLLER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCKCONTROLLER.DLL,43
LOCKSCREENDATA.DLL,C:\Windows\System32\LOCKSCREENDATA.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCKSCREENDATA.DLL,54
MRMCORER.DLL,C:\Windows\System32\MrmCoreR.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MRMCORER.DLL,28
MRMDEPLOY.DLL,C:\Windows\System32\MRMDEPLOY.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MRMDEPLOY.DLL,94
MSCTF.DLL,C:\Windows\System32\msctf.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSCTF.DLL,52
MSVCP110_WIN.DLL,C:\Windows\System32\MSVCP110_WIN.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCP110_WIN.DLL,25
MSVCP_WIN.DLL,C:\Windows\System32\MSVCP_WIN.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCP_WIN.DLL,17
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,12
MSXML6.DLL,C:\Windows\System32\msxml6.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSXML6.DLL,105
MSXML6R.DLL,C:\Windows\System32\msxml6r.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSXML6R.DLL,106
NETWORKSTATUS.DLL,C:\WINDOWS\SYSTEM32\NETWORKSTATUS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETWORKSTATUS.DLL,83
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
NTMARTA.DLL,C:\Windows\System32\ntmarta.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTMARTA.DLL,71
OLE32.DLL,C:\Windows\System32\ole32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\OLE32.DLL,14
