$MFT,C:\Users\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,84
40ACA851CDD04CA28B69DE2B8516801E_1,C:\USERS\STRATARXIS\APPDATA\LOCAL\PACKAGES\MICROSOFT.WINDOWS.CONTENTDELIVERYMANAGER_CW5N1H2TXYEWY\LOCALSTATE\TARGETEDCONTENTCACHE\V3\338388\40ACA851CDD04CA28B69DE2B8516801E_1,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\PACKAGES\MICROSOFT.WINDOWS.CONTENTDELIVERYMANAGER_CW5N1H2TXYEWY\LOCALSTATE\TARGETEDCONTENTCACHE\V3\338388\40ACA851CDD04CA28B69DE2B8516801E_1,106
5E962EA47C5140AAB8347A49D75E8DB6_1,C:\USERS\STRATARXIS\APPDATA\LOCAL\PACKAGES\MICROSOFT.WINDOWS.CONTENTDELIVERYMANAGER_CW5N1H2TXYEWY\LOCALSTATE\TARGETEDCONTENTCACHE\V3\314559\5E962EA47C5140AAB8347A49D75E8DB6_1,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\PACKAGES\MICROSOFT.WINDOWS.CONTENTDELIVERYMANAGER_CW5N1H2TXYEWY\LOCALSTATE\TARGETEDCONTENTCACHE\V3\314559\5E962EA47C5140AAB8347A49D75E8DB6_1,96
608F214D542644819A359468CA11A02A_1,C:\USERS\STRATARXIS\APPDATA\LOCAL\PACKAGES\MICROSOFT.WINDOWS.CONTENTDELIVERYMANAGER_CW5N1H2TXYEWY\LOCALSTATE\TARGETEDCONTENTCACHE\V3\338388\608F214D542644819A359468CA11A02A_1,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\PACKAGES\MICROSOFT.WINDOWS.CONTENTDELIVERYMANAGER_CW5N1H2TXYEWY\LOCALSTATE\TARGETEDCONTENTCACHE\V3\338388\608F214D542644819A359468CA11A02A_1,95
9F5CAB6BA0004841A17A3E37E3EED153_1,C:\USERS\STRATARXIS\APPDATA\LOCAL\PACKAGES\MICROSOFT.WINDOWS.CONTENTDELIVERYMANAGER_CW5N1H2TXYEWY\LOCALSTATE\TARGETEDCONTENTCACHE\V3\338388\9F5CAB6BA0004841A17A3E37E3EED153_1,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\PACKAGES\MICROSOFT.WINDOWS.CONTENTDELIVERYMANAGER_CW5N1H2TXYEWY\LOCALSTATE\TARGETEDCONTENTCACHE\V3\338388\9F5CAB6BA0004841A17A3E37E3EED153_1,105
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,30
AEPIC.DLL,C:\Windows\System32\aepic.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AEPIC.DLL,41
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,70
APPXDEPLOYMENTCLIENT.DLL,C:\Windows\System32\APPXDEPLOYMENTCLIENT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPXDEPLOYMENTCLIENT.DLL,49
BCP47LANGS.DLL,C:\Windows\System32\BCP47LANGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCP47LANGS.DLL,101
