BASH.EXE,C:\cygwin64\bin\bash.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\BASH.EXE,4
CYGICONV-2.DLL,C:\cygwin64\bin\CYGICONV-2.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGICONV-2.DLL,6
CYGINTL-8.DLL,C:\cygwin64\bin\CYGINTL-8.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGINTL-8.DLL,7
CYGNCURSESW-10.DLL,C:\cygwin64\bin\CYGNCURSESW-10.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGNCURSESW-10.DLL,9
CYGREADLINE7.DLL,C:\cygwin64\bin\CYGREADLINE7.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGREADLINE7.DLL,8
CYGWIN1.DLL,C:\cygwin64\bin\cygwin1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGWIN1.DLL,5
DNSAPI.DLL,C:\Windows\System32\dnsapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DNSAPI.DLL,18
GZIP.EXE,C:\cygwin64\bin\gzip.exe,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\GZIP.EXE,22
IPHLPAPI.DLL,C:\Windows\System32\IPHLPAPI.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IPHLPAPI.DLL,20
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,13
MSWSOCK.DLL,C:\Windows\System32\mswsock.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSWSOCK.DLL,17
NAPINSP.DLL,C:\Windows\System32\NapiNSP.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NAPINSP.DLL,12
NLAAPI.DLL,C:\Windows\System32\nlaapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NLAAPI.DLL,16
NSI.DLL,C:\Windows\System32\nsi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NSI.DLL,19
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
PNRPNSP.DLL,C:\Windows\System32\pnrpnsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\PNRPNSP.DLL,15
RPCRT4.DLL,C:\Windows\System32\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCRT4.DLL,11
SECHOST.DLL,C:\Windows\System32\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SECHOST.DLL,14
WINRNR.DLL,C:\Windows\System32\winrnr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WINRNR.DLL,21
WS2_32.DLL,C:\Windows\System32\ws2_32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WS2_32.DLL,10
