ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,7
DNSAPI.DLL,C:\Windows\System32\dnsapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DNSAPI.DLL,21
GIT.EXE,C:\PROGRAM FILES\Git\mingw64\libexec\git-core\git.exe,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\MINGW64\LIBEXEC\GIT-CORE\GIT.EXE,25
IPHLPAPI.DLL,C:\Windows\System32\IPHLPAPI.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IPHLPAPI.DLL,23
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,8
MSWSOCK.DLL,C:\Windows\System32\mswsock.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSWSOCK.DLL,17
MSYS-2.0.DLL,C:\PROGRAM FILES\Git\usr\bin\MSYS-2.0.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\MSYS-2.0.DLL,5
NAPINSP.DLL,C:\Windows\System32\NapiNSP.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NAPINSP.DLL,18
NETAPI32.DLL,C:\Windows\System32\netapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETAPI32.DLL,11
NETUTILS.DLL,C:\Windows\System32\netutils.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NETUTILS.DLL,15
NLAAPI.DLL,C:\Windows\System32\nlaapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NLAAPI.DLL,20
NSI.DLL,C:\Windows\System32\nsi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NSI.DLL,22
NSSWITCH.CONF,C:\PROGRAM FILES\Git\etc\NSSWITCH.CONF,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\ETC\NSSWITCH.CONF,6
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
PNRPNSP.DLL,C:\Windows\System32\pnrpnsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\PNRPNSP.DLL,19
RPCRT4.DLL,C:\Windows\System32\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCRT4.DLL,10
SAMCLI.DLL,C:\Windows\System32\samcli.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMCLI.DLL,12
SAMLIB.DLL,C:\Windows\System32\samlib.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SAMLIB.DLL,14
SECHOST.DLL,C:\Windows\System32\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SECHOST.DLL,9
SH.EXE,C:\PROGRAM FILES\Git\usr\bin\sh.exe,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\GIT\USR\BIN\SH.EXE,4
UCRTBASE.DLL,C:\Windows\System32\ucrtbase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\UCRTBASE.DLL,13
WINRNR.DLL,C:\Windows\System32\winrnr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WINRNR.DLL,24
WS2_32.DLL,C:\Windows\System32\ws2_32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WS2_32.DLL,16
