$MFT,C:\Windows\System32\RESOURCEPOLICYCLIENT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,54
1289921488.PRI,C:\Windows\rescache\_merged\3973815535\1289921488.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3973815535\1289921488.PRI,210
1451359172.PRI,C:\Windows\rescache\_merged\2684030499\1451359172.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\2684030499\1451359172.PRI,199
1634953647.PRI,C:\Windows\rescache\_merged\3160573820\1634953647.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3160573820\1634953647.PRI,171
3194632539.PRI,C:\Windows\rescache\_merged\3853007498\3194632539.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3853007498\3194632539.PRI,151
3264311911.PRI,C:\Windows\rescache\_merged\508436199\3264311911.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\508436199\3264311911.PRI,89
3554151384.PRI,C:\Windows\rescache\_merged\1192960017\3554151384.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\1192960017\3554151384.PRI,204
3922527406.PRI,C:\Windows\rescache\_merged\2098079403\3922527406.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\2098079403\3922527406.PRI,74
3936926795.PRI,C:\Windows\rescache\_merged\3509920451\3936926795.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3509920451\3936926795.PRI,169
703396677.PRI,C:\Windows\rescache\_merged\781105783\703396677.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\781105783\703396677.PRI,195
