$MFT,C:\WINDOWS\SYSTEM32\RPCSS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,33
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,5
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,46
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,16
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,21
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,34
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,15
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,37
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,50
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,47
CRYPTUI.DLL,C:\Windows\System32\cryptui.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTUI.DLL,42
DEVOBJ.DLL,C:\Windows\System32\devobj.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVOBJ.DLL,45
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,11
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,12
IMM32.DLL,C:\Windows\System32\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\IMM32.DLL,54
KERNEL.APPCORE.DLL,C:\Windows\System32\KERNEL.APPCORE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL.APPCORE.DLL,25
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,2
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,3
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,4
MSASN1.DLL,C:\Windows\System32\msasn1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSASN1.DLL,38
MSVCP_WIN.DLL,C:\Windows\System32\MSVCP_WIN.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCP_WIN.DLL,13
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,6
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
OLE32.DLL,C:\Windows\System32\ole32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\OLE32.DLL,18
OLEAUT32.DLL,C:\Windows\System32\oleaut32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\OLEAUT32.DLL,17
POWRPROF.DLL,C:\Windows\System32\powrprof.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\POWRPROF.DLL,26
PROFAPI.DLL,C:\Windows\System32\profapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\PROFAPI.DLL,27
R00000000000D.CLB,C:\Windows\REGISTRATION\R00000000000D.CLB,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\REGISTRATION\R00000000000D.CLB,35
RPCRT4.DLL,C:\Windows\System32\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCRT4.DLL,8
RPCSS.DLL,C:\WINDOWS\SYSTEM32\RPCSS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RPCSS.DLL,32
RSAENH.DLL,C:\Windows\System32\rsaenh.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\RSAENH.DLL,48
SECHOST.DLL,C:\Windows\System32\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SECHOST.DLL,7
SETUPAPI.DLL,C:\Windows\System32\setupapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SETUPAPI.DLL,39
SHCORE.DLL,C:\Windows\System32\SHCore.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SHCORE.DLL,22
SHELL32.DLL,C:\Windows\System32\shell32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SHELL32.DLL,20
SHLWAPI.DLL,C:\Windows\System32\shlwapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SHLWAPI.DLL,24
SLC.DLL,C:\Windows\System32\slc.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SLC.DLL,28
SLUI.EXE,C:\WINDOWS\SYSTEM32\SLUI.EXE,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SLUI.EXE,1
SLUI.EXE.MUI,C:\WINDOWS\SYSTEM32\EN-US\SLUI.EXE.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\SLUI.EXE.MUI,31
SLWGA.DLL,C:\Windows\System32\slwga.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SLWGA.DLL,43
SORTDEFAULT.NLS,C:\Windows\GLOBALIZATION\Sorting\SORTDEFAULT.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\GLOBALIZATION\SORTING\SORTDEFAULT.NLS,49
SPPC.DLL,C:\Windows\System32\sppc.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SPPC.DLL,30
SPPCEXT.DLL,C:\Windows\System32\sppcext.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SPPCEXT.DLL,41
SPPCOMAPI.DLL,C:\Windows\System32\SPPCOMAPI.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SPPCOMAPI.DLL,36
SPPCOMAPI.DLL.MUI,C:\Windows\System32\en-US\SPPCOMAPI.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\SPPCOMAPI.DLL.MUI,53
STDOLE2.TLB,C:\Windows\System32\stdole2.tlb,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\STDOLE2.TLB,52
SXS.DLL,C:\Windows\System32\sxs.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SXS.DLL,51
UCRTBASE.DLL,C:\Windows\System32\ucrtbase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\UCRTBASE.DLL,14
USER32.DLL,C:\Windows\System32\user32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\USER32.DLL,9
WIN32U.DLL,C:\Windows\System32\win32u.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WIN32U.DLL,10
WINBRAND.DLL,C:\Windows\System32\winbrand.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WINBRAND.DLL,19
WINDOWS.STORAGE.DLL,C:\Windows\System32\WINDOWS.STORAGE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WINDOWS.STORAGE.DLL,23
WINHTTP.DLL,C:\Windows\System32\winhttp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WINHTTP.DLL,44
WINSCARD.DLL,C:\Windows\System32\WinSCard.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WINSCARD.DLL,40
WTSAPI32.DLL,C:\Windows\System32\wtsapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WTSAPI32.DLL,29
