$MFT,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscoreei.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,20
ADVAPI32.DLL,C:\Windows\SysWOW64\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ADVAPI32.DLL,12
BCRYPTPRIMITIVES.DLL,C:\Windows\SysWOW64\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPTPRIMITIVES.DLL,18
CFGMGR32.DLL,C:\Windows\SysWOW64\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CFGMGR32.DLL,53
CLR.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\clr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\CLR.DLL,32
CLRJIT.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\clrjit.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\CLRJIT.DLL,41
COMBASE.DLL,C:\Windows\SysWOW64\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COMBASE.DLL,22
CRYPTBASE.DLL,C:\Windows\SysWOW64\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPTBASE.DLL,17
GDI32.DLL,C:\Windows\SysWOW64\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\GDI32.DLL,24
GDI32FULL.DLL,C:\Windows\SysWOW64\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\GDI32FULL.DLL,25
IMM32.DLL,C:\Windows\SysWOW64\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\IMM32.DLL,29
KERNEL.APPCORE.DLL,C:\Windows\SysWOW64\KERNEL.APPCORE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNEL.APPCORE.DLL,30
KERNEL32.DLL,C:\Windows\SysWOW64\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNEL32.DLL,4
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,3
KERNELBASE.DLL,C:\Windows\SysWOW64\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNELBASE.DLL,10
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,11
MACHINE.CONFIG,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\Config\MACHINE.CONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\CONFIG\MACHINE.CONFIG,34
MSCOREE.DLL,C:\Windows\SysWOW64\mscoree.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\MSCOREE.DLL,9
MSCOREEI.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\mscoreei.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\MSCOREEI.DLL,19
MSCORLIB.NI.DLL,C:\Windows\assembly\NATIVEIMAGES_V4.0.30319_32\mscorlib\72386A8A932AD2FD737CF604277C4A85\MSCORLIB.NI.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\ASSEMBLY\NATIVEIMAGES_V4.0.30319_32\MSCORLIB\72386A8A932AD2FD737CF604277C4A85\MSCORLIB.NI.DLL,38
MSCORLIB.NI.DLL.AUX,C:\Windows\assembly\NATIVEIMAGES_V4.0.30319_32\mscorlib\72386A8A932AD2FD737CF604277C4A85\MSCORLIB.NI.DLL.AUX,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\ASSEMBLY\NATIVEIMAGES_V4.0.30319_32\MSCORLIB\72386A8A932AD2FD737CF604277C4A85\MSCORLIB.NI.DLL.AUX,37
MSVCP_WIN.DLL,C:\Windows\SysWOW64\MSVCP_WIN.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\MSVCP_WIN.DLL,26
MSVCR120_CLR0400.DLL,C:\Windows\SysWOW64\MSVCR120_CLR0400.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\MSVCR120_CLR0400.DLL,33
MSVCRT.DLL,C:\Windows\SysWOW64\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\MSVCRT.DLL,13
NTDLL.DLL,C:\Windows\SysWOW64\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\NTDLL.DLL,7
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
OLE32.DLL,C:\Windows\SysWOW64\ole32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\OLE32.DLL,39
OLEAUT32.DLL,C:\Windows\SysWOW64\oleaut32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\OLEAUT32.DLL,40
POWRPROF.DLL,C:\Windows\SysWOW64\powrprof.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\POWRPROF.DLL,56
PROFAPI.DLL,C:\Windows\SysWOW64\profapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\PROFAPI.DLL,57
PSAPI.DLL,C:\Windows\SysWOW64\psapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\PSAPI.DLL,35
RPCRT4.DLL,C:\Windows\SysWOW64\rpcrt4.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\RPCRT4.DLL,15
SECHOST.DLL,C:\Windows\SysWOW64\sechost.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\SECHOST.DLL,14
SHCORE.DLL,C:\Windows\SysWOW64\SHCore.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\SHCORE.DLL,54
SHELL32.DLL,C:\Windows\SysWOW64\shell32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\SHELL32.DLL,52
SHLWAPI.DLL,C:\Windows\SysWOW64\shlwapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\SHLWAPI.DLL,21
SORTDEFAULT.NLS,C:\Windows\GLOBALIZATION\Sorting\SORTDEFAULT.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\GLOBALIZATION\SORTING\SORTDEFAULT.NLS,36
SQUIRREL.EXE,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\squirrel.exe,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\SQUIRREL.EXE,8
SSPICLI.DLL,C:\Windows\SysWOW64\sspicli.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\SSPICLI.DLL,16
SYSTEM.CORE.NI.DLL,C:\Windows\assembly\NATIVEIMAGES_V4.0.30319_32\SYSTEM.CORE\0B78981BAC0916A597255EA432A5BAEE\SYSTEM.CORE.NI.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\ASSEMBLY\NATIVEIMAGES_V4.0.30319_32\SYSTEM.CORE\0B78981BAC0916A597255EA432A5BAEE\SYSTEM.CORE.NI.DLL,45
