$MFT,C:\PROGRAMDATA\MICROSOFT\Windows\APPREPOSITORY\Packages\KING.COM.CANDYCRUSHSODASAGA_1.105.700.0_X86__KGQVNYMYFVS32\S-1-5-21-2261305653-3396329666-1248054534-1001.PCKGDEP,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,12
ADVAPI32.DLL,C:\Windows\SysWOW64\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ADVAPI32.DLL,53
APPHELP.DLL,C:\Windows\SysWOW64\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\APPHELP.DLL,13
ATICFX32.DLL,C:\Windows\SysWOW64\aticfx32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ATICFX32.DLL,78
ATIDXX32.DLL,C:\Windows\SysWOW64\atidxx32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ATIDXX32.DLL,87
ATIUXPAG.DLL,C:\Windows\SysWOW64\atiuxpag.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ATIUXPAG.DLL,83
AVRT.DLL,C:\Windows\SysWOW64\avrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\AVRT.DLL,37
BCP47LANGS.DLL,C:\Windows\SysWOW64\BCP47LANGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCP47LANGS.DLL,56
BCRYPT.DLL,C:\Windows\SysWOW64\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPT.DLL,63
BCRYPTPRIMITIVES.DLL,C:\Windows\SysWOW64\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPTPRIMITIVES.DLL,23
CFGMGR32.DLL,C:\Windows\SysWOW64\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CFGMGR32.DLL,49
COMBASE.DLL,C:\Windows\SysWOW64\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COMBASE.DLL,16
CONCRT140_APP.DLL,C:\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.VCLIBS.140.00_14.0.25426.0_X86__8WEKYB3D8BBWE\CONCRT140_APP.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\WINDOWSAPPS\MICROSOFT.VCLIBS.140.00_14.0.25426.0_X86__8WEKYB3D8BBWE\CONCRT140_APP.DLL,28
COREMESSAGING.DLL,C:\Windows\SysWOW64\COREMESSAGING.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COREMESSAGING.DLL,57
COREUICOMPONENTS.DLL,C:\Windows\SysWOW64\COREUICOMPONENTS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COREUICOMPONENTS.DLL,73
CRYPT32.DLL,C:\Windows\SysWOW64\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPT32.DLL,90
CRYPTBASE.DLL,C:\Windows\SysWOW64\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPTBASE.DLL,21
CRYPTSP.DLL,C:\Windows\SysWOW64\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPTSP.DLL,44
CURL.DLL,C:\PROGRAM FILES\WINDOWSAPPS\KING.COM.CANDYCRUSHSODASAGA_1.105.700.0_X86__KGQVNYMYFVS32\curl.dll,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAM FILES\WINDOWSAPPS\KING.COM.CANDYCRUSHSODASAGA_1.105.700.0_X86__KGQVNYMYFVS32\CURL.DLL,32
D2D1.DLL,C:\Windows\SysWOW64\d2d1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\D2D1.DLL,89
D3D11.DLL,C:\Windows\SysWOW64\d3d11.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\D3D11.DLL,38
D3DCOMPILER_47.DLL,C:\Windows\SysWOW64\D3DCOMPILER_47.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\D3DCOMPILER_47.DLL,39
DATAEXCHANGE.DLL,C:\Windows\SysWOW64\DATAEXCHANGE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\DATAEXCHANGE.DLL,101
DCOMP.DLL,C:\Windows\SysWOW64\dcomp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\DCOMP.DLL,59
DEVOBJ.DLL,C:\Windows\SysWOW64\devobj.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\DEVOBJ.DLL,46
DWMAPI.DLL,C:\Windows\SysWOW64\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\DWMAPI.DLL,76
DWRITE.DLL,C:\Windows\SysWOW64\DWrite.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\DWRITE.DLL,93
DXGI.DLL,C:\Windows\SysWOW64\dxgi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\DXGI.DLL,48
GDI32.DLL,C:\Windows\SysWOW64\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\GDI32.DLL,42
GDI32FULL.DLL,C:\Windows\SysWOW64\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\GDI32FULL.DLL,43
IERTUTIL.DLL,C:\Windows\SysWOW64\iertutil.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\IERTUTIL.DLL,55
IMAGEHLP.DLL,C:\Windows\SysWOW64\imagehlp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\IMAGEHLP.DLL,71
IMM32.DLL,C:\Windows\SysWOW64\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\IMM32.DLL,51
KERNEL.APPCORE.DLL,C:\Windows\SysWOW64\KERNEL.APPCORE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNEL.APPCORE.DLL,52
KERNEL32.DLL,C:\Windows\SysWOW64\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNEL32.DLL,4
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,3
KERNELBASE.DLL,C:\Windows\SysWOW64\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\KERNELBASE.DLL,9
