$MFT,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,31
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,30
AMDXC64.DLL,C:\WINDOWS\SYSTEM32\AMDXC64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AMDXC64.DLL,112
APPRAISER.DLL,C:\WINDOWS\SYSTEM32\APPRAISER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPRAISER.DLL,83
ATICFX64.DLL,C:\WINDOWS\SYSTEM32\ATICFX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATICFX64.DLL,105
ATIDXX64.DLL,C:\WINDOWS\SYSTEM32\ATIDXX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIDXX64.DLL,110
ATIUXP64.DLL,C:\WINDOWS\SYSTEM32\ATIUXP64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUXP64.DLL,109
BCD.DLL,C:\Windows\System32\bcd.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCD.DLL,77
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,24
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,9
CABINET.DLL,C:\Windows\System32\cabinet.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CABINET.DLL,61
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,60
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,51
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,8
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,22
CRYPT32.DLL.MUI,C:\Windows\System32\en-US\CRYPT32.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\CRYPT32.DLL.MUI,144
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,43
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,62
