$MFT,C:\PROGRAMDATA\MICROSOFT\Windows\DEVICEMETADATACACHE\dmrc.idx,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,54
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,29
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,38
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,9
CABINET.DLL,C:\Windows\System32\cabinet.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CABINET.DLL,50
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,20
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,31
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,8
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,26
DDORES.DLL,C:\Windows\System32\DDORes.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DDORES.DLL,46
DEVICEDRIVERRETRIEVALCLIENT.DLL,C:\WINDOWS\SYSTEM32\DEVICEDRIVERRETRIEVALCLIENT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVICEDRIVERRETRIEVALCLIENT.DLL,41
DEVICEMETADATARETRIEVALCLIENT.DLL,C:\WINDOWS\SYSTEM32\DEVICEMETADATARETRIEVALCLIENT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVICEMETADATARETRIEVALCLIENT.DLL,47
DEVICESETUPMANAGER.DLL,C:\WINDOWS\SYSTEM32\DEVICESETUPMANAGER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVICESETUPMANAGER.DLL,19
