$MFT,C:\Windows\System32\imm32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,30
1289921488.PRI,C:\Windows\rescache\_merged\3973815535\1289921488.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3973815535\1289921488.PRI,56
1361178506.PRI,C:\Windows\rescache\_merged\3696180371\1361178506.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\3696180371\1361178506.PRI,156
3318257509.PRI,C:\Windows\rescache\_merged\4021392633\3318257509.PRI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\RESCACHE\_MERGED\4021392633\3318257509.PRI,63
6BADA8974A10C4BD62CC921D13E43B18_BEB37ABADF39714871232B4792417E04,C:\Users\STRATARXIS\AppData\LocalLow\MICROSOFT\CRYPTNETURLCACHE\Content\6BADA8974A10C4BD62CC921D13E43B18_BEB37ABADF39714871232B4792417E04,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCALLOW\MICROSOFT\CRYPTNETURLCACHE\CONTENT\6BADA8974A10C4BD62CC921D13E43B18_BEB37ABADF39714871232B4792417E04,187
6BADA8974A10C4BD62CC921D13E43B18_BEB37ABADF39714871232B4792417E04,C:\Users\STRATARXIS\AppData\LocalLow\MICROSOFT\CRYPTNETURLCACHE\MetaData\6BADA8974A10C4BD62CC921D13E43B18_BEB37ABADF39714871232B4792417E04,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCALLOW\MICROSOFT\CRYPTNETURLCACHE\METADATA\6BADA8974A10C4BD62CC921D13E43B18_BEB37ABADF39714871232B4792417E04,186
ACTIVATIONSTORE.DAT,C:\PROGRAMDATA\MICROSOFT\Windows\APPREPOSITORY\Packages\WINDOWS.IMMERSIVECONTROLPANEL_10.0.1.1000_NEUTRAL_NEUTRAL_CW5N1H2TXYEWY\ACTIVATIONSTORE.DAT,\VOLUME{01d240134ec3371c-524f8ba2}\PROGRAMDATA\MICROSOFT\WINDOWS\APPREPOSITORY\PACKAGES\WINDOWS.IMMERSIVECONTROLPANEL_10.0.1.1000_NEUTRAL_NEUTRAL_CW5N1H2TXYEWY\ACTIVATIONSTORE.DAT,118
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,28
APPCONTRACTS.DLL,C:\Windows\System32\APPCONTRACTS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPCONTRACTS.DLL,130
APPRESOLVER.DLL,C:\Windows\System32\APPRESOLVER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPRESOLVER.DLL,120
