$MFT,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,31
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,27
AMDXC64.DLL,C:\WINDOWS\SYSTEM32\AMDXC64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AMDXC64.DLL,129
APPRAISER.DLL,C:\WINDOWS\SYSTEM32\APPRAISER.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPRAISER.DLL,94
ATICFX64.DLL,C:\WINDOWS\SYSTEM32\ATICFX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATICFX64.DLL,123
ATIDXX64.DLL,C:\WINDOWS\SYSTEM32\ATIDXX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIDXX64.DLL,127
ATIUXP64.DLL,C:\WINDOWS\SYSTEM32\ATIUXP64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUXP64.DLL,126
BCD.DLL,C:\Windows\System32\bcd.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCD.DLL,28
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,30
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,9
BIWINRT.DLL,C:\Windows\System32\biwinrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BIWINRT.DLL,118
CERTCA.DLL,C:\Windows\System32\certca.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CERTCA.DLL,53
CERTENROLL.DLL,C:\Windows\System32\CERTENROLL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CERTENROLL.DLL,52
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,39
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,24
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,7
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,33
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,43
CRYPTNET.DLL,C:\Windows\System32\cryptnet.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTNET.DLL,58
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,40
D3D11.DLL,C:\Windows\System32\d3d11.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\D3D11.DLL,121
D3D12.DLL,C:\Windows\System32\D3D12.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\D3D12.DLL,128
DCNTEL.DLL,C:\WINDOWS\SYSTEM32\DCNTEL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DCNTEL.DLL,105
DEVICEDIRECTORYCLIENT.DLL,C:\WINDOWS\SYSTEM32\DEVICEDIRECTORYCLIENT.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVICEDIRECTORYCLIENT.DLL,68
DEVOBJ.DLL,C:\Windows\System32\devobj.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DEVOBJ.DLL,38
DIMSJOB.DLL,C:\Windows\System32\dimsjob.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DIMSJOB.DLL,48
DPAPI.DLL,C:\Windows\System32\dpapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DPAPI.DLL,56
DSPARSE.DLL,C:\Windows\System32\dsparse.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DSPARSE.DLL,54
DSROLE.DLL,C:\Windows\System32\dsrole.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DSROLE.DLL,57
DWMAPI.DLL,C:\Windows\System32\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DWMAPI.DLL,23
DXGI.DLL,C:\Windows\System32\dxgi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DXGI.DLL,120
FASTPROX.DLL,C:\Windows\System32\wbem\fastprox.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\WBEM\FASTPROX.DLL,88
FLIGHTSETTINGS.DLL,C:\WINDOWS\SYSTEM32\FLIGHTSETTINGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FLIGHTSETTINGS.DLL,91
FVEAPI.DLL,C:\Windows\System32\fveapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FVEAPI.DLL,72
