$MFT,C:\Windows\System32\vsstrace.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,49
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,28
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,35
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,14
CBS.LOG,C:\Windows\Logs\CBS\CBS.log,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\LOGS\CBS\CBS.LOG,24
CBSAPI.DLL,C:\Windows\SERVICING\CbsApi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SERVICING\CBSAPI.DLL,27
CBSCORE.DLL,C:\Windows\WinSxS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.16299.96_NONE_2C40CC7F3876F2B7\CbsCore.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.16299.96_NONE_2C40CC7F3876F2B7\CBSCORE.DLL,0
CBSMSG.DLL,C:\Windows\SERVICING\CbsMsg.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SERVICING\CBSMSG.DLL,38
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,39
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,25
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,11
CRYPT32.DLL,C:\Windows\System32\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPT32.DLL,29
CRYPTSP.DLL,C:\Windows\System32\cryptsp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTSP.DLL,32
DBGCORE.DLL,C:\Windows\System32\dbgcore.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DBGCORE.DLL,21
DBGHELP.DLL,C:\Windows\System32\dbghelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\DBGHELP.DLL,20
DPX.DLL,C:\Windows\WinSxS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.16299.96_NONE_2C40CC7F3876F2B7\dpx.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.16299.96_NONE_2C40CC7F3876F2B7\DPX.DLL,1
DRIVERS,C:\WINDOWS\SYSTEM32\CONFIG\DRIVERS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CONFIG\DRIVERS,50
DRUPDATE.DLL,C:\Windows\WinSxS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.16299.96_NONE_2C40CC7F3876F2B7\drupdate.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\AMD64_MICROSOFT-WINDOWS-SERVICINGSTACK_31BF3856AD364E35_10.0.16299.96_NONE_2C40CC7F3876F2B7\DRUPDATE.DLL,3
FLTLIB.DLL,C:\Windows\System32\fltLib.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\FLTLIB.DLL,52
GDI32.DLL,C:\Windows\System32\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32.DLL,40
GDI32FULL.DLL,C:\Windows\System32\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\GDI32FULL.DLL,42
KERNEL.APPCORE.DLL,C:\Windows\System32\KERNEL.APPCORE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL.APPCORE.DLL,23
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,7
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,8
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,9
MICROSOFT-ONECORE-APPLICATIONMODEL-SYNC-DESKTOP-FOD-PACKAGE~31BF3856AD364E35~AMD64~~10.0.16299.15.MUM,C:\Windows\SERVICING\Packages\MICROSOFT-ONECORE-APPLICATIONMODEL-SYNC-DESKTOP-FOD-PACKAGE~31BF3856AD364E35~AMD64~~10.0.16299.15.MUM,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SERVICING\PACKAGES\MICROSOFT-ONECORE-APPLICATIONMODEL-SYNC-DESKTOP-FOD-PACKAGE~31BF3856AD364E35~AMD64~~10.0.16299.15.MUM,54
MICROSOFT-ONECORE-GRAPHICS-TOOLS-PACKAGE~31BF3856AD364E35~AMD64~~10.0.16299.15.MUM,C:\Windows\SERVICING\Packages\MICROSOFT-ONECORE-GRAPHICS-TOOLS-PACKAGE~31BF3856AD364E35~AMD64~~10.0.16299.15.MUM,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SERVICING\PACKAGES\MICROSOFT-ONECORE-GRAPHICS-TOOLS-PACKAGE~31BF3856AD364E35~AMD64~~10.0.16299.15.MUM,55
MICROSOFT-WINDOWS-CLIENT-LANGUAGEPACK-PACKAGE~31BF3856AD364E35~AMD64~EN-US~10.0.16299.15.MUM,C:\Windows\SERVICING\Packages\MICROSOFT-WINDOWS-CLIENT-LANGUAGEPACK-PACKAGE~31BF3856AD364E35~AMD64~EN-US~10.0.16299.15.MUM,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SERVICING\PACKAGES\MICROSOFT-WINDOWS-CLIENT-LANGUAGEPACK-PACKAGE~31BF3856AD364E35~AMD64~EN-US~10.0.16299.15.MUM,56
MICROSOFT-WINDOWS-FOUNDATION-PACKAGE~31BF3856AD364E35~AMD64~~10.0.16299.15.MUM,C:\Windows\SERVICING\Packages\MICROSOFT-WINDOWS-FOUNDATION-PACKAGE~31BF3856AD364E35~AMD64~~10.0.16299.15.MUM,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SERVICING\PACKAGES\MICROSOFT-WINDOWS-FOUNDATION-PACKAGE~31BF3856AD364E35~AMD64~~10.0.16299.15.MUM,57
