ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,19
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,24
CA-BUNDLE.LEGACY.CRT,C:\cygwin64\etc\pki\ca-trust\source\CA-BUNDLE.LEGACY.CRT,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PKI\CA-TRUST\SOURCE\CA-BUNDLE.LEGACY.CRT,13
CA-BUNDLE.TRUST.CRT.KJQLMJ,C:\CYGWIN64\ETC\PKI\CA-TRUST\EXTRACTED\OPENSSL\CA-BUNDLE.TRUST.CRT.KJQLMJ,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PKI\CA-TRUST\EXTRACTED\OPENSSL\CA-BUNDLE.TRUST.CRT.KJQLMJ,28
CA-BUNDLE.TRUST.P11-KIT,C:\cygwin64\usr\share\pki\CA-TRUST-SOURCE\CA-BUNDLE.TRUST.P11-KIT,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\PKI\CA-TRUST-SOURCE\CA-BUNDLE.TRUST.P11-KIT,15
CACERTS.MRMKL2,C:\CYGWIN64\ETC\PKI\CA-TRUST\EXTRACTED\JAVA\CACERTS.MRMKL2,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PKI\CA-TRUST\EXTRACTED\JAVA\CACERTS.MRMKL2,25
CRYPTBASE.DLL,C:\Windows\System32\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CRYPTBASE.DLL,23
CYGFFI-6.DLL,C:\cygwin64\bin\cygffi-6.dll,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGFFI-6.DLL,8
CYGICONV-2.DLL,C:\cygwin64\bin\CYGICONV-2.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGICONV-2.DLL,10
CYGINTL-8.DLL,C:\cygwin64\bin\CYGINTL-8.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGINTL-8.DLL,9
CYGP11-KIT-0.DLL,C:\cygwin64\bin\CYGP11-KIT-0.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGP11-KIT-0.DLL,6
CYGTASN1-6.DLL,C:\cygwin64\bin\CYGTASN1-6.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGTASN1-6.DLL,7
CYGWIN1.DLL,C:\cygwin64\bin\cygwin1.dll,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\BIN\CYGWIN1.DLL,5
EMAIL-CA-BUNDLE.PEM.X1EAIS,C:\CYGWIN64\ETC\PKI\CA-TRUST\EXTRACTED\PEM\EMAIL-CA-BUNDLE.PEM.X1EAIS,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\ETC\PKI\CA-TRUST\EXTRACTED\PEM\EMAIL-CA-BUNDLE.PEM.X1EAIS,26
GMT,C:\cygwin64\usr\share\zoneinfo\GMT,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\ZONEINFO\GMT,16
KERNEL32.DLL,C:\Windows\System32\kernel32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNEL32.DLL,1
KERNELBASE.DLL,C:\Windows\System32\KERNELBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\KERNELBASE.DLL,2
LOCALE.NLS,C:\Windows\System32\locale.nls,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\LOCALE.NLS,3
MSVCRT.DLL,C:\Windows\System32\msvcrt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\MSVCRT.DLL,20
NTDLL.DLL,C:\Windows\System32\ntdll.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\NTDLL.DLL,0
P11-KIT-TRUST.MODULE,C:\cygwin64\usr\share\p11-kit\modules\P11-KIT-TRUST.MODULE,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\P11-KIT\MODULES\P11-KIT-TRUST.MODULE,11
P11-KIT-TRUST.SO,C:\cygwin64\lib\pkcs11\P11-KIT-TRUST.SO,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\LIB\PKCS11\P11-KIT-TRUST.SO,12
POSIXRULES,C:\cygwin64\usr\share\zoneinfo\POSIXRULES,\VOLUME{01d240134ec3371c-524f8ba2}\CYGWIN64\USR\SHARE\ZONEINFO\POSIXRULES,17
