$MFT,C:\Users\STRATARXIS\AppData\Local\atom\Update.exe,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,19
.BETAID,C:\Users\STRATARXIS\AppData\Local\atom\packages\.BETAID,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\PACKAGES\.BETAID,72
.SQUIRREL-LOCK-BFEC9FF7E936E8EE32E7C31BB8E4D5D13FDE6349,C:\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\.SQUIRREL-LOCK-BFEC9FF7E936E8EE32E7C31BB8E4D5D13FDE6349,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\.SQUIRREL-LOCK-BFEC9FF7E936E8EE32E7C31BB8E4D5D13FDE6349,111
ADVAPI32.DLL,C:\Windows\SysWOW64\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ADVAPI32.DLL,23
ASPNET.CONFIG,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\ASPNET.CONFIG,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\ASPNET.CONFIG,83
ASPNET_RC.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\ASPNET_RC.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\ASPNET_RC.DLL,82
ATOM-1.23.3-DELTA.NUPKG,C:\Users\STRATARXIS\AppData\Local\atom\packages\ATOM-1.23.3-DELTA.NUPKG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\PACKAGES\ATOM-1.23.3-DELTA.NUPKG,126
ATOM-1.23.3-FULL.NUPKG,C:\Users\STRATARXIS\AppData\Local\atom\packages\ATOM-1.23.3-FULL.NUPKG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\PACKAGES\ATOM-1.23.3-FULL.NUPKG,116
ATOM.EXE,C:\Users\STRATARXIS\AppData\Local\atom\APP-1.23.3\atom.exe,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.3\ATOM.EXE,121
BCRYPT.DLL,C:\Windows\SysWOW64\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPT.DLL,69
BCRYPTPRIMITIVES.DLL,C:\Windows\SysWOW64\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPTPRIMITIVES.DLL,29
CFGMGR32.DLL,C:\Windows\SysWOW64\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CFGMGR32.DLL,63
CLBCATQ.DLL,C:\Windows\SysWOW64\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CLBCATQ.DLL,68
CLR.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\clr.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\CLR.DLL,42
CLRJIT.DLL,C:\Windows\MICROSOFT.NET\FRAMEWORK\V4.0.30319\clrjit.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\CLRJIT.DLL,51
COMBASE.DLL,C:\Windows\SysWOW64\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COMBASE.DLL,32
CRYPT32.DLL,C:\Windows\SysWOW64\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPT32.DLL,102
