$MFT,C:\Windows\SysWOW64\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,59
ADVAPI32.DLL,C:\Windows\SysWOW64\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ADVAPI32.DLL,11
BCRYPT.DLL,C:\Windows\SysWOW64\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPT.DLL,43
BCRYPTPRIMITIVES.DLL,C:\Windows\SysWOW64\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPTPRIMITIVES.DLL,20
CABINET.DLL,C:\Windows\SysWOW64\cabinet.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CABINET.DLL,39
CFGMGR32.DLL,C:\Windows\SysWOW64\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CFGMGR32.DLL,28
CLBCATQ.DLL,C:\Windows\SysWOW64\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CLBCATQ.DLL,45
COMBASE.DLL,C:\Windows\SysWOW64\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COMBASE.DLL,15
COREMESSAGING.DLL,C:\Windows\SysWOW64\COREMESSAGING.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COREMESSAGING.DLL,55
COREUICOMPONENTS.DLL,C:\Windows\SysWOW64\COREUICOMPONENTS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COREUICOMPONENTS.DLL,54
CRYPT32.DLL,C:\Windows\SysWOW64\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPT32.DLL,36
CRYPTBASE.DLL,C:\Windows\SysWOW64\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPTBASE.DLL,19
DWMAPI.DLL,C:\Windows\SysWOW64\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\DWMAPI.DLL,58
