$MFT,C:\Windows\SysWOW64\wintrust.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,39
ADVAPI32.DLL,C:\Windows\SysWOW64\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ADVAPI32.DLL,11
BCRYPT.DLL,C:\Windows\SysWOW64\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPT.DLL,44
BCRYPTPRIMITIVES.DLL,C:\Windows\SysWOW64\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPTPRIMITIVES.DLL,20
BOOTSTRAPPERAPPLICATIONDATA.XML,C:\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\{E2EE15E2-A480-4BC5-BFB7-E9803D1D9823}\.BA1\BOOTSTRAPPERAPPLICATIONDATA.XML,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\{E2EE15E2-A480-4BC5-BFB7-E9803D1D9823}\.BA1\BOOTSTRAPPERAPPLICATIONDATA.XML,84
C_1250.NLS,C:\WINDOWS\SYSTEM32\C_1250.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_1250.NLS,108
C_1251.NLS,C:\WINDOWS\SYSTEM32\C_1251.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_1251.NLS,109
C_1253.NLS,C:\WINDOWS\SYSTEM32\C_1253.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_1253.NLS,110
C_1254.NLS,C:\WINDOWS\SYSTEM32\C_1254.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_1254.NLS,111
C_1255.NLS,C:\WINDOWS\SYSTEM32\C_1255.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_1255.NLS,112
C_1256.NLS,C:\WINDOWS\SYSTEM32\C_1256.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_1256.NLS,113
C_1257.NLS,C:\WINDOWS\SYSTEM32\C_1257.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_1257.NLS,114
C_1258.NLS,C:\WINDOWS\SYSTEM32\C_1258.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_1258.NLS,115
C_874.NLS,C:\WINDOWS\SYSTEM32\C_874.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_874.NLS,116
C_932.NLS,C:\WINDOWS\SYSTEM32\C_932.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_932.NLS,106
C_936.NLS,C:\WINDOWS\SYSTEM32\C_936.NLS,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\C_936.NLS,107
CABINET.DLL,C:\Windows\SysWOW64\cabinet.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CABINET.DLL,41
CFGMGR32.DLL,C:\Windows\SysWOW64\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CFGMGR32.DLL,28
CLBCATQ.DLL,C:\Windows\SysWOW64\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CLBCATQ.DLL,46
COMBASE.DLL,C:\Windows\SysWOW64\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COMBASE.DLL,16
COMCTL32.DLL,C:\Windows\WinSxS\X86_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_144040DB3691EC4E\comctl32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\X86_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_144040DB3691EC4E\COMCTL32.DLL,95
COMCTL32.DLL.MUI,C:\Windows\WinSxS\X86_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_6.0.16299.98_EN-US_2A4B89C063381E3B\COMCTL32.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\X86_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_6.0.16299.98_EN-US_2A4B89C063381E3B\COMCTL32.DLL.MUI,105
COMDLG32.DLL,C:\Windows\SysWOW64\comdlg32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COMDLG32.DLL,94
COREMESSAGING.DLL,C:\Windows\SysWOW64\COREMESSAGING.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COREMESSAGING.DLL,89
COREUICOMPONENTS.DLL,C:\Windows\SysWOW64\COREUICOMPONENTS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\COREUICOMPONENTS.DLL,90
CRYPT32.DLL,C:\Windows\SysWOW64\crypt32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPT32.DLL,36
CRYPTBASE.DLL,C:\Windows\SysWOW64\CRYPTBASE.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CRYPTBASE.DLL,18
DD_VCREDIST_AMD64_20180108104313.LOG,C:\Users\STRATARXIS\AppData\Local\Temp\DD_VCREDIST_AMD64_20180108104313.LOG,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\DD_VCREDIST_AMD64_20180108104313.LOG,85
DWMAPI.DLL,C:\Windows\SysWOW64\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\DWMAPI.DLL,93
EXPLORERFRAME.DLL,C:\Windows\SysWOW64\EXPLORERFRAME.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\EXPLORERFRAME.DLL,98
FECLIENT.DLL,C:\Windows\SysWOW64\feclient.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\FECLIENT.DLL,52
GDI32.DLL,C:\Windows\SysWOW64\gdi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\GDI32.DLL,25
GDI32FULL.DLL,C:\Windows\SysWOW64\GDI32FULL.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\GDI32FULL.DLL,27
GDIPLUS.DLL,C:\Windows\WinSxS\X86_MICROSOFT.WINDOWS.GDIPLUS_6595B64144CCF1DF_1.1.16299.98_NONE_9407AFF94A2A0876\GdiPlus.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\X86_MICROSOFT.WINDOWS.GDIPLUS_6595B64144CCF1DF_1.1.16299.98_NONE_9407AFF94A2A0876\GDIPLUS.DLL,14
IMAGERES.DLL,C:\Windows\SysWOW64\imageres.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\IMAGERES.DLL,117
IMAGERES.DLL.MUI,C:\Windows\System32\en-US\IMAGERES.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\IMAGERES.DLL.MUI,118
