$MFT,C:\Windows\SysWOW64\dwmapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,46
_ISDECMP.DLL,C:\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\IS-N0TO0.TMP\_ISETUP\_ISDECMP.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\IS-N0TO0.TMP\_ISETUP\_ISDECMP.DLL,59
_SETUP64.TMP,C:\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\IS-N0TO0.TMP\_ISETUP\_SETUP64.TMP,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\IS-N0TO0.TMP\_ISETUP\_SETUP64.TMP,56
_SHFOLDR.DLL,C:\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\IS-N0TO0.TMP\_ISETUP\_SHFOLDR.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\APPDATA\LOCAL\TEMP\IS-N0TO0.TMP\_ISETUP\_SHFOLDR.DLL,57
ADVAPI32.DLL,C:\Windows\SysWOW64\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\ADVAPI32.DLL,26
APPHELP.DLL,C:\Windows\SysWOW64\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\APPHELP.DLL,11
BCRYPT.DLL,C:\Windows\SysWOW64\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPT.DLL,62
BCRYPTPRIMITIVES.DLL,C:\Windows\SysWOW64\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\BCRYPTPRIMITIVES.DLL,24
CDD.DLL,C:\WINDOWS\SYSTEM32\CDD.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CDD.DLL,76
CFGMGR32.DLL,C:\Windows\SysWOW64\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CFGMGR32.DLL,31
CLBCATQ.DLL,C:\Windows\SysWOW64\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSWOW64\CLBCATQ.DLL,68
