$MFT,C:\Windows\apppatch\sysmain.sdb,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,60
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,12
AERO_ARROW.CUR,C:\Windows\Cursors\AERO_ARROW.CUR,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_ARROW.CUR,38
AERO_BUSY.ANI,C:\Windows\Cursors\AERO_BUSY.ANI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_BUSY.ANI,39
AERO_EW.CUR,C:\Windows\Cursors\aero_ew.cur,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_EW.CUR,43
AERO_HELPSEL.CUR,C:\Windows\Cursors\AERO_HELPSEL.CUR,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_HELPSEL.CUR,48
AERO_LINK.CUR,C:\Windows\Cursors\AERO_LINK.CUR,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_LINK.CUR,50
AERO_MOVE.CUR,C:\Windows\Cursors\AERO_MOVE.CUR,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_MOVE.CUR,45
AERO_NESW.CUR,C:\Windows\Cursors\AERO_NESW.CUR,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_NESW.CUR,42
AERO_NS.CUR,C:\Windows\Cursors\aero_ns.cur,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_NS.CUR,44
AERO_NWSE.CUR,C:\Windows\Cursors\AERO_NWSE.CUR,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_NWSE.CUR,41
AERO_PEN.CUR,C:\Windows\Cursors\aero_pen.cur,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_PEN.CUR,49
AERO_UNAVAIL.CUR,C:\Windows\Cursors\AERO_UNAVAIL.CUR,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_UNAVAIL.CUR,46
AERO_UP.CUR,C:\Windows\Cursors\aero_up.cur,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\CURSORS\AERO_UP.CUR,40
