$MFT,C:\Users\STRATARXIS\OneDrive\desktop.ini,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,53
.GITIGNORE,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\.GITIGNORE,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\.GITIGNORE,91
.TRAVIS.YML,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\.TRAVIS.YML,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\.TRAVIS.YML,92
00388B550A2603A9E219BCB48ACAF8CC115653CB1EA84CB4BCCCEB1AABE755B6,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\tests\oss-fuzz\PE_FUZZER_CORPUS\00388B550A2603A9E219BCB48ACAF8CC115653CB1EA84CB4BCCCEB1AABE755B6,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\TESTS\OSS-FUZZ\PE_FUZZER_CORPUS\00388B550A2603A9E219BCB48ACAF8CC115653CB1EA84CB4BCCCEB1AABE755B6,265
1,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\tests\oss-fuzz\RULES_FUZZER_CORPUS\1,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\TESTS\OSS-FUZZ\RULES_FUZZER_CORPUS\1,275
12F50A7DBF0C42F61AE1C351B2A9F75E8EDB3BB55E582619EDC7ECE4EB0A3094,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\tests\oss-fuzz\PE_FUZZER_CORPUS\12F50A7DBF0C42F61AE1C351B2A9F75E8EDB3BB55E582619EDC7ECE4EB0A3094,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\TESTS\OSS-FUZZ\PE_FUZZER_CORPUS\12F50A7DBF0C42F61AE1C351B2A9F75E8EDB3BB55E582619EDC7ECE4EB0A3094,266
2,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\tests\oss-fuzz\RULES_FUZZER_CORPUS\2,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\TESTS\OSS-FUZZ\RULES_FUZZER_CORPUS\2,276
967AF267B4124BADA8F507CEBF25F2192D146A4D63BE71B45BFC03C5DA7F21A7,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\tests\oss-fuzz\PE_FUZZER_CORPUS\967AF267B4124BADA8F507CEBF25F2192D146A4D63BE71B45BFC03C5DA7F21A7,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\TESTS\OSS-FUZZ\PE_FUZZER_CORPUS\967AF267B4124BADA8F507CEBF25F2192D146A4D63BE71B45BFC03C5DA7F21A7,267
99E98CB7096DEE974E28FEA0F76F1C30BC44FD5762CB12B2702910A28B28F95F,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\tests\oss-fuzz\PE_FUZZER_CORPUS\99E98CB7096DEE974E28FEA0F76F1C30BC44FD5762CB12B2702910A28B28F95F,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\TESTS\OSS-FUZZ\PE_FUZZER_CORPUS\99E98CB7096DEE974E28FEA0F76F1C30BC44FD5762CB12B2702910A28B28F95F,268
ACX_PTHREAD.M4,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\m4\ACX_PTHREAD.M4,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\M4\ACX_PTHREAD.M4,230
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,22
AEPIC.DLL,C:\Windows\System32\aepic.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AEPIC.DLL,36
AHOCORASICK.C,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\libyara\AHOCORASICK.C,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\LIBYARA\AHOCORASICK.C,133
AHOCORASICK.H,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\libyara\include\yara\AHOCORASICK.H,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\LIBYARA\INCLUDE\YARA\AHOCORASICK.H,153
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,319
APPVEYOR.YML,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\appveyor.yml,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\APPVEYOR.YML,98
ARENA.C,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\libyara\arena.c,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\LIBYARA\ARENA.C,134
ARENA.H,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\libyara\include\yara\arena.h,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\LIBYARA\INCLUDE\YARA\ARENA.H,154
ARGS.C,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\args.c,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\ARGS.C,99
ARGS.H,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\args.h,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\ARGS.H,100
ATOMS.C,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\libyara\atoms.c,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\LIBYARA\ATOMS.C,135
ATOMS.H,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\libyara\include\yara\atoms.h,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\LIBYARA\INCLUDE\YARA\ATOMS.H,155
AUTHORS,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\AUTHORS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\AUTHORS,93
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,38
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,15
BLOB.H,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\tests\blob.h,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\TESTS\BLOB.H,233
BOOTSTRAP.SH,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\BOOTSTRAP.SH,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\BOOTSTRAP.SH,101
BUILD.SH,C:\Users\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\build.sh,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DOWNLOADS\YARA-3.7.0\YARA-3.7.0\BUILD.SH,102
