$MFT,C:\Windows\System32\en-US\PRNTVPT.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,124
69B8A4A.BUD,C:\Windows\System32\DRIVERSTORE\FILEREPOSITORY\PRNMS009.INF_AMD64_5812EB3D390AC060\MPDW-MANIFEST.INI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SPOOL\V4DIRS\A614FDD7-5D8F-4A0F-BDDA-A942FE6822DD\69B8A4A.BUD,88
ACGENRAL.DLL,C:\Windows\System32\AcGenral.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ACGENRAL.DLL,7
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,25
AEPIC.DLL,C:\Windows\System32\aepic.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AEPIC.DLL,152
AMSI.DLL,C:\Windows\System32\amsi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AMSI.DLL,100
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,5
ATLTHUNK.DLL,C:\Windows\System32\atlthunk.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATLTHUNK.DLL,93
BCP47LANGS.DLL,C:\Windows\System32\BCP47LANGS.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCP47LANGS.DLL,68
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,54
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,14
