$MFT,C:\USERS\STRATARXIS\APPDATA\LOCALLOW\TEMP\MICROSOFT\OPC\DDT.F38U29MIT_4BHEB571OZ3OB_G.TMP,\VOLUME{01d240134ec3371c-524f8ba2}\$MFT,289
69B8A4A.BUD,C:\Windows\System32\DRIVERSTORE\FILEREPOSITORY\PRNMS009.INF_AMD64_5812EB3D390AC060\MPDW-MANIFEST.INI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\SPOOL\V4DIRS\A614FDD7-5D8F-4A0F-BDDA-A942FE6822DD\69B8A4A.BUD,160
AAAB.OXPS,C:\Users\STRATARXIS\Desktop\AAAB.OXPS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\AAAB.OXPS,252
AAAC.OXPS,C:\Users\STRATARXIS\Desktop\AAAC.OXPS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\AAAC.OXPS,211
AAAD.OXPS,C:\Users\STRATARXIS\Desktop\AAAD.OXPS,\VOLUME{01d240134ec3371c-524f8ba2}\USERS\STRATARXIS\DESKTOP\AAAD.OXPS,66
ADVAPI32.DLL,C:\Windows\System32\advapi32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ADVAPI32.DLL,5
AEPIC.DLL,C:\Windows\System32\aepic.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AEPIC.DLL,202
AMSI.DLL,C:\Windows\System32\amsi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\AMSI.DLL,164
APPHELP.DLL,C:\Windows\System32\apphelp.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\APPHELP.DLL,183
ATICFX64.DLL,C:\WINDOWS\SYSTEM32\ATICFX64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATICFX64.DLL,79
ATIU9P64.DLL,C:\WINDOWS\SYSTEM32\ATIU9P64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIU9P64.DLL,81
ATIUMD64.DLL,C:\WINDOWS\SYSTEM32\ATIUMD64.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUMD64.DLL,82
ATIUMD6A.CAP,C:\WINDOWS\SYSTEM32\ATIUMD6A.CAP,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUMD6A.CAP,84
ATIUMD6A.DLL,C:\WINDOWS\SYSTEM32\ATIUMD6A.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\ATIUMD6A.DLL,83
BCRYPT.DLL,C:\Windows\System32\bcrypt.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPT.DLL,31
BCRYPTPRIMITIVES.DLL,C:\Windows\System32\BCRYPTPRIMITIVES.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\BCRYPTPRIMITIVES.DLL,17
CFGMGR32.DLL,C:\Windows\System32\cfgmgr32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CFGMGR32.DLL,19
CLBCATQ.DLL,C:\Windows\System32\clbcatq.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLBCATQ.DLL,52
CLDAPI.DLL,C:\Windows\System32\cldapi.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\CLDAPI.DLL,200
COMBASE.DLL,C:\Windows\System32\combase.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMBASE.DLL,16
COMCTL32.DLL,C:\Windows\WinSxS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\comctl32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\AMD64_MICROSOFT.WINDOWS.COMMON-CONTROLS_6595B64144CCF1DF_6.0.16299.98_NONE_CC930A042215C348\COMCTL32.DLL,27
COMCTL32.DLL.MUI,C:\Windows\WinSxS\AMD64_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_6.0.16299.98_EN-US_E29E52E94EBBF535\COMCTL32.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\WINSXS\AMD64_MICROSOFT.WINDOWS.C..-CONTROLS.RESOURCES_6595B64144CCF1DF_6.0.16299.98_EN-US_E29E52E94EBBF535\COMCTL32.DLL.MUI,181
COMDLG32.DLL,C:\Windows\System32\comdlg32.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMDLG32.DLL,155
COMDLG32.DLL.MUI,C:\Windows\System32\en-US\COMDLG32.DLL.MUI,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\EN-US\COMDLG32.DLL.MUI,180
COML2.DLL,C:\Windows\System32\coml2.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COML2.DLL,70
COMPSTUI.DLL,C:\Windows\System32\compstui.dll,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COMPSTUI.DLL,174
COREMESSAGING.DLL,C:\Windows\System32\COREMESSAGING.DLL,\VOLUME{01d240134ec3371c-524f8ba2}\WINDOWS\SYSTEM32\COREMESSAGING.DLL,62
