Process information for DESKTOP-280IJO6:

Name                             Pid Pri Thd  Hnd      VM      WS    Priv
Idle                               0   0   4    0      64       8      52
  System                           4   8 129 3834   10860    3040     172
    smss                         352  11   3   52 4194303     364     528
    Memory Compression          1912   8 186    0  412032  375628     932
csrss                            480  13  14  489 4194303    1784    1840
wininit                          608  13   2  183 4194303    2200    1840
  services                       728   9   9  582 4194303    5304    5300
    svchost                      324   8   6  244 4194303    4560    2404
    svchost                      720   8   3   99 4194303    1632    1120
    svchost                      864   8   2   77 4194303    1340     936
    svchost                      888   8  17 1142 4194303   30088   25916
      WinStore.App               192   8  26  886  796916   33048   27184
      stritz                     812   8  30 1061  679892   37352  318164
      dllhost                   4180   8   3  140 4194303    2628    3960
      RuntimeBroker             6936   8   7  349 4194303   24096   13432
      dllhost                   9276   8   6  243 4194303   12068    4476
      SearchUI                 11612   8  49 1342 4194303  170220  105388
      browser_broker           13964   8  10  669 4194303   27536    8244
      WmiPrvSE                 14036   8   9  173  103768    8448    3056
      RuntimeBroker            14324   8   3  417 4194303   18924    6060
      ShellExperienceHost      15084   8  35 1141 4194303   39476   38832
      MicrosoftEdgeCP          17048   8  39 1039 4194303   97228   94812
      MicrosoftEdgeCP          17316   8  14  536 4194303   26060    5856
      RuntimeBroker            17500   8   2  112 4194303    1436    1376
      MicrosoftEdgeCP          21700   8  12  518 4194303   20624    5756
      MicrosoftEdgeCP          22112   8  13  444 4194303   21532    8852
      WmiPrvSE                 24896   8   9  165 4194303    8216    2416
      MicrosoftEdgeCP          26936   8  32  811 4194303   66068   63684
      RuntimeBroker            30548   8   3  196 4194303   14332    3860
      MicrosoftEdgeCP          31436   8  36 1001 4194303   76296   60848
      WmiPrvSE                 32444   8  14  322 4194303   14720    6576
      MicrosoftEdgeCP          33480   8  34  989 4194303  144984  103464
      MicrosoftEdgeCP          34212   8  34  992 4194303   75336   41516
      SkypeHost                35012   8  12  276  160924    4172    4676
      RuntimeBroker            35236   8   3  289 4194303    9164    5572
      RuntimeBroker            35344   8   4  289 4194303   15716    5508
      RuntimeBroker            36540   8   7  495 4194303   29196    8392
      MicrosoftEdgeCP          39156   8  47 1656 4194303  226620  161972
      GameBarPresenceWriter    39308   8   2  102 4194303    4796    1324
      MicrosoftEdgeCP          40544   8  13  528 4194303   24116    5848
      TiWorker                 40708   8   7  161 4194303   10608    4044
      MicrosoftEdgeCP          42136   8  31  848 4194303   75712   74876
      RuntimeBroker            42476   8  10  470 4194303   23336    9552
      ApplicationFrameHost     43032   8  10  504 4194303   25472   18536
      MicrosoftEdgeCP          43384   8  31  862 4194303   45300   89724
      MicrosoftEdge            43748   8  26 1752 4194303   97488   63488
      MicrosoftEdgeCP          44124   8  37 1305 4194303  232156  191704
    svchost                     1012   8  12 1058 4194303   11080    9796
    svchost                     1060   8  15  502 4194303   10928   14212
    svchost                     1388   8   2  152 4194303    5380    2364
    svchost                     1444   8   5  414 4194303    9584    3932
    svchost                     1468   8   9  417 4194303    9196   17076
    svchost                     1512   8   4  140 4194303    4176    6680
    svchost                     1536   8   8  206 4194303    4076    2504
    atiesrxx                    1560   8   5  148   73532   13228    1548
      atieclxx                 21208   8   8  213  136532    7116    2256
    svchost                     1576   8   6  372 4194303   10112    5376
    svchost                     1616   8   3  247 4194303    6032    2940
    svchost                     1632   8   6  227 4194303   73928   89720
    svchost                     1640   8   3  198 4194303    1884    1316
    svchost                     1648   8   6  171 4194303    4288    2536
    svchost                     1780   8  10  358 4194303    7696    4908
    svchost                     1796   8   3  189 4194303    4696    2452
    svchost                     1832   8   2  157 4194303    4412    1840
    svchost                     1864   8   4  169 4194303    2460    1760
    svchost                     1872   8   6  154 4194303    6276    2380
    svchost                     1984   8  10  379 4194303    5520    3404
    svchost                     1996   8   2  100 4194303    2016    1220
    svchost                     2004   8  12  227 4194303    4864    3264
    svchost                     2020   8   6  270 4194303    6188    3468
      sihost                   15780   8   9  942 4194303   24524    8044
    svchost                     2072   8   7  227 4194303    4072    2460
    svchost                     2224   8   6  314 4194303    4416    2492
    svchost                     2232   8   4  115 4194303    2276    1624
    svchost                     2272   8   5  174 4194303    4048    2144
    svchost                     2292   8   3  332 4194303    6360    3588
    svchost                     2332   8   5  240 4194303    3784    2700
    svchost                     2364   8   5  236 4194303    6912    2700
    spoolsv                     2512   8   8  541 4194303    6680    7792
    svchost                     2532   8   6  188 4194303    4448    2180
    svchost                     2536   8  15  625 4194303   24584   15584
    svchost                     2552   8  21  985 4194303   13432   15000
    svchost                     2568   8   6  163 4194303    2992    2228
    svchost                     2708   8   6  500 4194303    6432    3912
    svchost                     2744   8   8  301 4194303    9720    7136
    svchost                     2752   8   4  169 4194303    5040    2192
    svchost                     2760   8  15  315 4194303   19964   31400
    svchost                     2772   8   3  125 4194303    2208    1312
    SecurityHealthService       2884   8   7  357 4194303    8632    5184
    svchost                     2948   8   5  120 4194303    2264    1612
    svchost                     2988   8   7  198 4194303    4420    2424
    svchost                     3384   8   4  186 4194303    5656    1700
    svchost                     3604   8   9  205 4194303    3644    2248
    svchost                     3828   8   5  174 4194303    3268    1972
    svchost                     4092   8  12  377 4194303    9024    7848
      taskhostw                 3280   8   9  345 4194303   19996   12748
    SearchIndexer               4224   8  20  894 4194303   57644   90072
      SearchFilterHost          9504   4   4  110 4194303    6388    1388
      SearchProtocolHost       32196   4  11  389 4194303   12604    2912
    msdtc                       4612   8  10  200 4194303    1256    2920
    svchost                     4852   8   5  883 4194303    9928    5408
    svchost                     4884   8   3  100 4194303    2208    1336
    svchost                     5072   8  20  316 4194303    7168    5056
    svchost                     5448   8   3  158 4194303    2624    1776
      ctfmon                   27152  13   9  477 4194303   12132    3612
    svchost                     5504   8   5  271 4194303   10752    4068
    svchost                     6112   8   8  293 4194303    7724    4864
    TrustedInstaller            6312   8   9  121 4194303    6948    2036
    svchost                     8332   8   5  282 4194303    9592    4344
    svchost                     8988   8   3  309 4194303    8496    4000
    svchost                    10136   8   3  146 4194303    3452    1892
    NisSrv                     11008   8  10 1224 4194303    9056   48556
    MsMpEng                    11660   8  31 1225 4194303  149364  278588
    svchost                    13716   8   5  204 4194303    2648    7080
    svchost                    17220   8   2  234 4194303    7824    2812
    svchost                    18572   8   8  148 4194303    5412    1916
    svchost                    19020   8   8  206 4194303    8132    2976
    svchost                    19908   8   7  437 4194303   25432    7644
    svchost                    22644   8   3  185 4194303    7084    2124
    svchost                    38780   8  14  482 4194303   14724   10216
  lsass                          748   9   9 2239 4194303   14940   12996
  fontdrvhost                    920   8   6   45 4194303     748    1512
winlogon                       27100  13   5  229 4194303    6384    2336
  fontdrvhost                   4080   8   6   68 4194303   16520    7416
  dwm                           9112  13  13 2126 4194303   44184   48736
atom                           36920   8  31  953 1177972   92744  176928
  atom                         14104   8   3  188  241176    8004    5764
  atom                         18176   8   9  472  450320   31832   60008
  atom                         19316   8  15  337 1026560   58644  141800
  atom                         20028   8  26 1302 1318204  178260  248216
csrss                          37060  13  13  639 4194303    3964    5432
explorer                       41448   8  75 2421 4194303  125132   83756
  cmd                           6916   8   2   44 4194303    2336    3292
    python                      8148   8  12  323  201008   17152   28144
    conhost                    16164   8   5  253 4194303   11908    6552
  OneDrive                     12856   8  14  531  247112   13660   10348
  cmd                          39884   8   2   71 4194303    4116    3636
    conhost                     4868   8   4  256 4194303   18928    9712
    python                     31640   8   8  290  191168   32024   21392
      pslist                   20704  13   4  242  117972    8376    3232
